id,list_name,party,session,date,value,category,description,claim_number
4021,"Skidmore, Chris",Conservative,12_13,2012-07-05,1430,accommodation,Accommodation Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,12_13,2012-04-23,239.59,office costs,Stationery Purchase,0000167761
4021,"Skidmore, Chris",Conservative,10_11,2011-01-14,79.5,travel,Public Tr RAIL - SGL,68171
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,31.7,general admin,Other,39676
4021,"Skidmore, Chris",Conservative,10_11,2010-08-03,7.2,travel,Public Tr RAIL Other MP Staff,20713
4021,"Skidmore, Chris",Conservative,10_11,2010-08-03,59,travel,Public Tr RAIL MP Staff - RTN,20713
4021,"Skidmore, Chris",Conservative,10_11,2011-02-07,72.07,accommodation,Gas,68112
4021,"Skidmore, Chris",Conservative,10_11,2010-06-08,99,accommodation,Interim Hotel London Area,6408
4021,"Skidmore, Chris",Conservative,10_11,2011-03-14,1461.41,constituency rental,Const Office Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,48.8,travel,Public Tr RAIL - RTN,39567
4021,"Skidmore, Chris",Conservative,10_11,2010-06-10,130,accommodation,Interim Hotel London Area,6408
4021,"Skidmore, Chris",Conservative,10_11,2010-08-03,48.4,travel,Public Tr RAIL - RTN,20749
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,139.54,constituency rental,Const Office Rent,39626
4021,"Skidmore, Chris",Conservative,10_11,2010-10-14,125.94,constituency rental,Const Office Tel. Usage/Rental,39948
4021,"Skidmore, Chris",Conservative,10_11,2011-03-30,1430,accommodation,Accommodation Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,77,travel,Public Tr RAIL - SGL,39586
4021,"Skidmore, Chris",Conservative,10_11,2011-02-28,28,travel,Public Tr RAIL - RTN,72136
4021,"Skidmore, Chris",Conservative,10_11,2010-10-14,172.73,general admin,Office Furniture Purchase,39974
4021,"Skidmore, Chris",Conservative,10_11,2011-03-21,48.8,travel,Public Tr RAIL MP Staff - RTN,82336
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,7.99,general admin,Office Furniture Purchase,39609
4021,"Skidmore, Chris",Conservative,10_11,2010-10-14,21.94,general admin,Payment Telephone/Mobile,39956
4021,"Skidmore, Chris",Conservative,10_11,2011-03-19,1260,general admin,Professional Services,42873
4021,"Skidmore, Chris",Conservative,10_11,2011-02-13,48.8,travel,Public Tr RAIL - RTN,81924
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,77,travel,Public Tr RAIL - SGL,39567
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,50,travel,Car Hire Fuel MP Staff,39604
4021,"Skidmore, Chris",Conservative,10_11,2011-02-13,48.8,travel,Public Tr RAIL - RTN,72136
4021,"Skidmore, Chris",Conservative,10_11,2010-09-14,10,travel,Congestion Zone/Toll MP,37901
4021,"Skidmore, Chris",Conservative,10_11,2010-09-07,10,travel,Congestion Zone/Toll MP,37901
4021,"Skidmore, Chris",Conservative,10_11,2011-03-28,96,general admin,Stationery Purchase,81888
4021,"Skidmore, Chris",Conservative,10_11,2011-03-19,322.83,general admin,Stationery Purchase,72119
4021,"Skidmore, Chris",Conservative,10_11,2010-10-13,178.6,general admin,Stationery Purchase,39676
4021,"Skidmore, Chris",Conservative,10_11,2010-12-02,1430,accommodation,Accommodation Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,10_11,2011-03-19,322.83,general admin,Stationery Purchase,72119
4021,"Skidmore, Chris",Conservative,10_11,2011-03-04,34,travel,Public Tr RAIL - SGL,81924
4021,"Skidmore, Chris",Conservative,10_11,2010-12-15,1461.41,constituency rental,Const Office Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,10_11,2010-10-28,8,travel,Congestion Zone/Toll MP,54876
4021,"Skidmore, Chris",Conservative,10_11,2011-02-07,322.83,general admin,Stationery Purchase,68127
4021,"Skidmore, Chris",Conservative,10_11,2011-02-07,30,general admin,Venue Hire,68145
4021,"Skidmore, Chris",Conservative,10_11,2011-03-19,41.03,general admin,Stationery Purchase,72119
4021,"Skidmore, Chris",Conservative,10_11,2011-01-05,2860,accommodation,Accommodation Rent,Payment to Supplier
4021,"Skidmore, Chris",Conservative,10_11,2010-12-28,94,general admin,Stationery Purchase,69579
4021,"Skidmore, Chris",Conservative,10_11,2011-03-19,30.11,general admin,Stationery Purchase,72119
