id,list_name,party,session,date,value,category,description,claim_number
1516,"Slaughter, Andy",Labour,12_13,2012-10-05,372.82,office costs,Const Office Tel. Usage/Rental,0000212353
1516,"Slaughter, Andy",Labour,12_13,2013-02-04,2.8,staffing,Public Tr UND Int/Volntr,0000257046
1516,"Slaughter, Andy",Labour,12_13,2012-12-08,3.3,travel,Parking,0000233147
1516,"Slaughter, Andy",Labour,10_11,2011-02-21,69.26,general admin,Stationery Purchase,71542
1516,"Slaughter, Andy",Labour,10_11,2011-03-31,65.67,general admin,Stationery Purchase,93052
1516,"Slaughter, Andy",Labour,10_11,2010-09-22,750,general admin,Contact Cards,55815
1516,"Slaughter, Andy",Labour,10_11,2010-10-27,7.8,general admin,Telephone/Mobile Purchase,49727
1516,"Slaughter, Andy",Labour,10_11,2011-03-28,51.71,general admin,Computer HW Purchase,93898
1516,"Slaughter, Andy",Labour,10_11,2011-03-31,124.92,general admin,Stationery Purchase,93052
1516,"Slaughter, Andy",Labour,10_11,2010-10-25,241.52,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,477,general admin,Contact Cards,89283
1516,"Slaughter, Andy",Labour,10_11,2010-05-17,118.75,travel,Parking MP,32993
1516,"Slaughter, Andy",Labour,10_11,2010-12-01,69.27,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2011-03-22,279.7,staffing,Public Tr UND Int/Volntr,93954
1516,"Slaughter, Andy",Labour,10_11,2010-12-01,503.4,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2010-10-25,136.43,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2010-05-17,509.19,general admin,Stationery Purchase,31455
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,76.33,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-31,12615,office costs,Const Office Rent,71482
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,32.79,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,50.94,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,424.2,staffing,Public Tr UND Int/Volntr,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-28,478.6,staffing,Public Tr RAIL Other Int/Volnt,94035
1516,"Slaughter, Andy",Labour,10_11,2010-07-05,239.41,general admin,Stationery Purchase,31464
1516,"Slaughter, Andy",Labour,10_11,2010-10-07,500,office costs,Payment Telephone/Mobile,49495
1516,"Slaughter, Andy",Labour,10_11,2011-03-07,45.88,general admin,Payment Internet,94070
1516,"Slaughter, Andy",Labour,10_11,2011-02-21,69.26,office costs,Stationery Purchase,49493
1516,"Slaughter, Andy",Labour,10_11,2010-06-30,1032,travel,Public Tr Season Ticket,19440
1516,"Slaughter, Andy",Labour,10_11,2010-11-14,9.99,general admin,Telephone/Mobile Purchase,49727
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,32.08,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-28,236.8,staffing,Public Tr RAIL Other Int/Volnt,94035
1516,"Slaughter, Andy",Labour,10_11,2010-11-12,9.09,general admin,Telephone/Mobile Purchase,49727
1516,"Slaughter, Andy",Labour,10_11,2010-11-12,17.92,general admin,Telephone/Mobile Purchase,49727
1516,"Slaughter, Andy",Labour,10_11,2010-11-03,112.73,general admin,Telephone/Mobile Purchase,49727
1516,"Slaughter, Andy",Labour,10_11,2010-11-04,58.94,general admin,Stationery Purchase,49704
1516,"Slaughter, Andy",Labour,10_11,2010-07-05,90.31,general admin,Stationery Purchase,31444
1516,"Slaughter, Andy",Labour,10_11,2011-01-10,117.89,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2011-01-07,393.63,general admin,Contact Cards,58579
1516,"Slaughter, Andy",Labour,10_11,2011-03-30,35,staffing,Public Tr UND Int/Volntr,0000100076
1516,"Slaughter, Andy",Labour,10_11,2010-12-01,63.61,general admin,Stationery Purchase,41908
1516,"Slaughter, Andy",Labour,10_11,2011-03-25,216,general admin,Professional Services,99109
1516,"Slaughter, Andy",Labour,10_11,2011-01-21,286.47,general admin,Stationery Purchase,71542
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,25.56,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-03-31,574.01,office costs,Const Office Tel. Usage/Rental,71482
1516,"Slaughter, Andy",Labour,10_11,2011-03-23,630,general admin,Computer HW Purchase,93929
1516,"Slaughter, Andy",Labour,10_11,2011-03-30,0.3,staffing,Public Tr UND Int/Volntr,0000100076
1516,"Slaughter, Andy",Labour,10_11,2010-10-15,586.8,general admin,Contact Cards,58580
1516,"Slaughter, Andy",Labour,10_11,2011-03-29,59.01,staffing,Food & Drink Intern/Volunteer,94848
1516,"Slaughter, Andy",Labour,10_11,2011-01-25,195.48,general admin,Stationery Purchase,71542
1516,"Slaughter, Andy",Labour,10_11,2011-03-28,100.11,general admin,Computer HW Purchase,93898
1516,"Slaughter, Andy",Labour,10_11,2011-03-23,102.24,general admin,Computer HW Purchase,93936
1516,"Slaughter, Andy",Labour,10_11,2011-03-28,616.88,general admin,Computer HW Purchase,93898
1516,"Slaughter, Andy",Labour,10_11,2010-10-27,44.98,general admin,Telephone/Mobile Purchase,49727
