id,list_name,party,session,date,value,category,description,claim_number
4042,"Smith, Owen",Labour,12_13,2012-11-22,4.46,office costs,Stationery Purchase,Payment to Supplier
4042,"Smith, Owen",Labour,12_13,2012-04-20,452.64,accommodation,Water,0000172395
4042,"Smith, Owen",Labour,12_13,2012-06-21,1.86,office costs,Stationery Purchase,Payment to Supplier
4042,"Smith, Owen",Labour,12_13,2012-09-25,85.75,office costs,Stationery Purchase,Payment to Supplier
4042,"Smith, Owen",Labour,12_13,2012-07-02,189,travel,Public Tr RAIL - RTN,0000196521
4042,"Smith, Owen",Labour,10_11,2010-07-14,19.99,general admin,Other,16472
4042,"Smith, Owen",Labour,10_11,2011-02-09,6.15,travel,Food & Drink @ Parliament,68936
4042,"Smith, Owen",Labour,10_11,2010-10-21,35.5,travel,Public Tr RAIL Other,44507
4042,"Smith, Owen",Labour,10_11,2011-02-10,4,travel,Public Tr Underground MP,71451
4042,"Smith, Owen",Labour,10_11,2011-03-31,30,travel,Taxi MP,99719
4042,"Smith, Owen",Labour,10_11,2010-06-16,95.63,general admin,Stationery Purchase,8321
4042,"Smith, Owen",Labour,10_11,2011-02-28,124.1,travel,Public Tr RAIL MP Staff - RTN,82137
4042,"Smith, Owen",Labour,10_11,2011-01-24,179,travel,Public Tr RAIL - RTN,66820
4042,"Smith, Owen",Labour,10_11,2011-03-07,1500,constituency rental,Const Office Rent,Payment to Supplier
4042,"Smith, Owen",Labour,10_11,2010-07-31,67.7,travel,Public Tr RAIL - SGL,27321
4042,"Smith, Owen",Labour,10_11,2011-03-07,18.71,general admin,Stationery Purchase,75180
4042,"Smith, Owen",Labour,10_11,2011-01-10,132.23,general admin,Payment Telephone/Mobile,75180
4042,"Smith, Owen",Labour,10_11,2010-09-03,5.44,travel,Own Car MP,41681
4042,"Smith, Owen",Labour,10_11,2010-11-25,148.13,constituency rental,Const Office Tel. Usage/Rental,64597
4042,"Smith, Owen",Labour,10_11,2010-10-27,202.06,general admin,Stationery Purchase,46638
4042,"Smith, Owen",Labour,10_11,2011-01-26,114.72,general admin,Other,64602
4042,"Smith, Owen",Labour,10_11,2010-09-08,35,general admin,Other,33474
4042,"Smith, Owen",Labour,10_11,2010-09-10,11.76,travel,Own Car MP,41681
4042,"Smith, Owen",Labour,10_11,2010-06-02,119,accommodation,Interim Hotel London Area,2707
4042,"Smith, Owen",Labour,10_11,2011-03-07,16.64,general admin,Other,75180
4042,"Smith, Owen",Labour,10_11,2011-03-10,128.21,accommodation,Electricity,75721
4042,"Smith, Owen",Labour,10_11,2010-06-27,66,travel,Own Car MP,20643
4042,"Smith, Owen",Labour,10_11,2010-09-06,132.5,travel,Public Tr RAIL - RTN,37762
4042,"Smith, Owen",Labour,10_11,2011-01-26,119.99,general admin,Other,64602
4042,"Smith, Owen",Labour,10_11,2010-11-17,129.25,accommodation,Interim Hotel London Area,49831
4042,"Smith, Owen",Labour,10_11,2010-06-19,35,travel,Public Tr RAIL Other,10466
4042,"Smith, Owen",Labour,10_11,2011-01-20,1408.33,accommodation,Accommodation Rent,Payment to Supplier
4042,"Smith, Owen",Labour,10_11,2010-11-25,83,constituency rental,Const Office Internet Rental,64597
4042,"Smith, Owen",Labour,10_11,2010-07-21,8.1,travel,Food & Drink @ Parliament,33463
4042,"Smith, Owen",Labour,10_11,2010-09-07,10.3,travel,Food & Drink @ Parliament,33463
4042,"Smith, Owen",Labour,10_11,2011-01-26,49.99,general admin,Other,64602
4042,"Smith, Owen",Labour,10_11,2011-01-26,38.87,general admin,Telephone/Mobile Purchase,64602
4042,"Smith, Owen",Labour,10_11,2010-06-03,66,travel,Own Car MP,20643
4042,"Smith, Owen",Labour,10_11,2011-01-19,30,travel,Taxi MP,68936
4042,"Smith, Owen",Labour,10_11,2010-07-09,66,travel,Own Car MP,20643
4042,"Smith, Owen",Labour,10_11,2011-01-26,6,constituency rental,Const Office Hire of Premises,64597
4042,"Smith, Owen",Labour,10_11,2011-03-07,66,general admin,Professional Services,75180
4042,"Smith, Owen",Labour,10_11,2010-06-24,66,travel,Own Car MP,20643
4042,"Smith, Owen",Labour,10_11,2011-01-12,4,travel,Public Tr Underground MP,65977
4042,"Smith, Owen",Labour,10_11,2011-01-26,2.57,general admin,Stationery Purchase,64602
4042,"Smith, Owen",Labour,10_11,2011-01-11,136.27,accommodation,Water,75721
4042,"Smith, Owen",Labour,10_11,2010-06-10,92.5,travel,Public Tr RAIL Other,10466
4042,"Smith, Owen",Labour,10_11,2011-01-31,185.6,travel,Public Tr RAIL - RTN,74129
4042,"Smith, Owen",Labour,10_11,2010-11-25,150.28,constituency rental,Const Office Tel. Usage/Rental,64597
4042,"Smith, Owen",Labour,10_11,2010-07-16,15,general admin,Venue Hire,33474
4042,"Smith, Owen",Labour,10_11,2010-09-08,363.06,accommodation,Interim Hotel London Area,33461
4042,"Smith, Owen",Labour,10_11,2010-10-10,4,travel,Public Tr Underground MP,45864
4042,"Smith, Owen",Labour,10_11,2010-05-20,66,travel,Own Car MP,20643
