id,list_name,party,session,date,value,category,description,claim_number
4055,"Spencer, Mark",Conservative,11_12,2011-06-16,25,travel,Public Tr RAIL - SGL,98818
4055,"Spencer, Mark",Conservative,12_13,2012-09-06,240,accommodation,Hotel London Area,0000208032
4055,"Spencer, Mark",Conservative,12_13,2013-02-05,35,office costs,Professional Services,0000250681
4055,"Spencer, Mark",Conservative,12_13,2013-01-28,4.18,office costs,Stationery Purchase,Payment to Supplier
4055,"Spencer, Mark",Conservative,10_11,2010-09-13,113.3,travel,Public Tr RAIL - RTN,29945
4055,"Spencer, Mark",Conservative,10_11,2010-05-10,3877.5,staffing,Professional Services (Staff.),4242
4055,"Spencer, Mark",Conservative,10_11,2011-01-21,263.02,general admin,Stationery Purchase,63778
4055,"Spencer, Mark",Conservative,10_11,2011-03-14,95.23,general admin,Payment Telephone/Mobile,79960
4055,"Spencer, Mark",Conservative,10_11,2010-12-13,318,accommodation,Interim Hotel London Area,58758
4055,"Spencer, Mark",Conservative,10_11,2010-07-09,150.76,general admin,Fax Purchase,12514
4055,"Spencer, Mark",Conservative,10_11,2011-02-07,146,accommodation,Interim Hotel London Area,72828
4055,"Spencer, Mark",Conservative,10_11,2011-01-26,400,constituency rental,Const Office Rent,64516
4055,"Spencer, Mark",Conservative,10_11,2010-11-29,54,travel,Own Car MP,55168
4055,"Spencer, Mark",Conservative,10_11,2010-06-21,113.3,travel,Public Tr RAIL - RTN,12453
4055,"Spencer, Mark",Conservative,10_11,2011-01-17,69,travel,Public Tr RAIL - SGL,63530
4055,"Spencer, Mark",Conservative,10_11,2010-07-02,340.16,general admin,Stationery Purchase,14930
4055,"Spencer, Mark",Conservative,10_11,2011-01-24,69,travel,Public Tr RAIL - SGL,63530
4055,"Spencer, Mark",Conservative,10_11,2010-07-12,34.52,general admin,Payment Telephone/Mobile,14930
4055,"Spencer, Mark",Conservative,10_11,2010-10-20,20.1,constituency rental,Const Office Hire of Premises,41954
