id,list_name,party,session,date,value,category,description,claim_number
449,"Stringer, Graham",Labour,12_13,2012-06-22,49,travel,Public Tr RAIL MP Staff - RTN,0000193035
449,"Stringer, Graham",Labour,12_13,2012-11-22,34,travel,Parking,0000227563
449,"Stringer, Graham",Labour,12_13,2013-03-14,59.5,travel,Parking,0000255708
449,"Stringer, Graham",Labour,10_11,2010-10-08,0.88,travel,Own Car MP,52325
449,"Stringer, Graham",Labour,10_11,2010-12-16,387.75,accommodation,Interim Hotel London Area,63526
449,"Stringer, Graham",Labour,10_11,2011-03-14,15,travel,Food & Drink @ Parliament,77244
449,"Stringer, Graham",Labour,10_11,2010-10-15,65.35,travel,Public Tr RAIL - SGL,44576
449,"Stringer, Graham",Labour,10_11,2011-03-02,24.75,travel,Public Tr RAIL - SGL,82211
449,"Stringer, Graham",Labour,10_11,2010-07-08,81.6,travel,Own Car MP,11865
449,"Stringer, Graham",Labour,10_11,2011-03-16,41,travel,Parking MP,82211
449,"Stringer, Graham",Labour,10_11,2010-11-19,0.6,travel,Own Car MP,52349
449,"Stringer, Graham",Labour,10_11,2010-07-05,5,travel,Congestion Zone/Toll MP,11885
449,"Stringer, Graham",Labour,10_11,2011-01-21,1670.96,constituency rental,Const Office Hire of Premises,71175
449,"Stringer, Graham",Labour,10_11,2010-11-04,387.75,accommodation,Interim Hotel London Area,52379
449,"Stringer, Graham",Labour,10_11,2010-11-11,48,travel,Parking MP,54799
449,"Stringer, Graham",Labour,10_11,2011-03-18,101.3,travel,Public Tr RAIL - SGL,82211
449,"Stringer, Graham",Labour,10_11,2010-07-15,387.75,accommodation,Interim Hotel London Area,19824
449,"Stringer, Graham",Labour,10_11,2011-02-04,30.35,travel,Public Tr RAIL - SGL,74200
449,"Stringer, Graham",Labour,10_11,2010-11-05,65.35,travel,Public Tr RAIL - SGL,54799
449,"Stringer, Graham",Labour,10_11,2010-06-07,37.6,travel,Public Tr RAIL - SGL,4319
449,"Stringer, Graham",Labour,10_11,2010-09-18,77.92,general admin,Payment Telephone/Mobile,34813
449,"Stringer, Graham",Labour,10_11,2010-10-18,15,travel,Food & Drink @ Parliament,44241
449,"Stringer, Graham",Labour,10_11,2010-11-11,389.97,accommodation,Interim Hotel London Area,52380
449,"Stringer, Graham",Labour,10_11,2011-02-17,48,travel,Parking MP,74200
449,"Stringer, Graham",Labour,10_11,2010-12-03,65.5,travel,Parking MP,62258
449,"Stringer, Graham",Labour,10_11,2010-11-26,1.04,travel,Own Car MP,52349
449,"Stringer, Graham",Labour,10_11,2010-07-28,258.5,accommodation,Interim Hotel London Area,18585
449,"Stringer, Graham",Labour,10_11,2010-12-03,20,constituency rental,Const Office Hire of Premises,64391
449,"Stringer, Graham",Labour,10_11,2010-12-01,486.05,constituency rental,Contents Insurance,70588
449,"Stringer, Graham",Labour,10_11,2010-07-15,120.8,travel,Public Tr RAIL - SGL,19592
