id,list_name,party,session,date,value,category,description,claim_number
1482,"Stuart, Graham",Conservative,11_12,2011-05-15,58.3,constituency rental,Const Office Tel. Usage/Rental,88772
1482,"Stuart, Graham",Conservative,12_13,2012-10-13,11.7,travel,Own Vehicle Car,0000215712
1482,"Stuart, Graham",Conservative,12_13,2012-04-27,93.1,travel,Public Tr RAIL - SGL,0000178974
1482,"Stuart, Graham",Conservative,12_13,2012-10-26,94.1,travel,Public Tr RAIL - SGL,0000227259
1482,"Stuart, Graham",Conservative,12_13,2012-08-20,14.1,staffing,Food & Drink Int/Volntr,0000207127
1482,"Stuart, Graham",Conservative,12_13,2012-11-05,15,travel,Food & Drink @ Parliament,0000211186
1482,"Stuart, Graham",Conservative,12_13,2013-02-08,9.45,travel,Own Vehicle Car,0000249250
1482,"Stuart, Graham",Conservative,12_13,2012-05-14,40,travel,Public Tr UND,0000180191
1482,"Stuart, Graham",Conservative,10_11,2010-05-29,8,travel,Own Car MP,31312
1482,"Stuart, Graham",Conservative,10_11,2011-03-03,6,travel,Taxi MP,75674
1482,"Stuart, Graham",Conservative,10_11,2010-07-26,83.2,travel,Public Tr RAIL - SGL,27183
1482,"Stuart, Graham",Conservative,10_11,2010-10-02,32.71,general admin,Other,35536
1482,"Stuart, Graham",Conservative,10_11,2010-05-23,129,constituency rental,Const Office Internet Usage,12083
1482,"Stuart, Graham",Conservative,10_11,2011-03-17,0.75,general admin,Hospitality,83577
1482,"Stuart, Graham",Conservative,10_11,2011-01-19,53.4,staffing,Public Tr OTHER Int/Volntr,63699
1482,"Stuart, Graham",Conservative,10_11,2011-02-10,15.36,constituency rental,Const Office Tel. Usage/Rental,68273
1482,"Stuart, Graham",Conservative,10_11,2010-05-16,49,travel,Public Tr RAIL - SGL,22914
1482,"Stuart, Graham",Conservative,10_11,2010-07-28,84.2,travel,Public Tr RAIL - SGL,27183
1482,"Stuart, Graham",Conservative,10_11,2010-07-19,69.5,travel,Public Tr RAIL - SGL,19353
1482,"Stuart, Graham",Conservative,10_11,2011-02-14,50,staffing,Public Tr OTHER Int/Volntr,65072
1482,"Stuart, Graham",Conservative,10_11,2011-01-24,4.8,travel,Own Car MP,58365
1482,"Stuart, Graham",Conservative,10_11,2011-03-07,4.8,travel,Own Car MP,72721
1482,"Stuart, Graham",Conservative,10_11,2010-11-17,4.8,travel,Own Car MP,39972
1482,"Stuart, Graham",Conservative,10_11,2010-10-08,77.4,staffing,Public Tr OTHER Int/Volntr,38706
1482,"Stuart, Graham",Conservative,10_11,2010-11-15,4.8,travel,Own Car MP,39972
1482,"Stuart, Graham",Conservative,10_11,2011-02-28,26.96,general admin,Other,64309
1482,"Stuart, Graham",Conservative,10_11,2010-08-29,79.4,general admin,Payment Telephone/Mobile,30301
1482,"Stuart, Graham",Conservative,10_11,2010-06-08,22.3,travel,Public Tr RAIL MP Staff - RTN,30205
1482,"Stuart, Graham",Conservative,10_11,2010-06-24,4.21,general admin,Stationery Purchase,7522
1482,"Stuart, Graham",Conservative,10_11,2010-06-28,49,travel,Public Tr RAIL - SGL,19353
1482,"Stuart, Graham",Conservative,10_11,2010-06-25,3.2,travel,Own Car MP,31312
1482,"Stuart, Graham",Conservative,10_11,2011-03-08,15,travel,Food & Drink @ Parliament,84509
1482,"Stuart, Graham",Conservative,10_11,2010-11-22,4.8,travel,Own Car MP,39972
1482,"Stuart, Graham",Conservative,10_11,2010-10-21,4.8,travel,Own Car MP,39972
1482,"Stuart, Graham",Conservative,10_11,2010-11-11,807,miscellaneous expenses,Contingency,47484
1482,"Stuart, Graham",Conservative,10_11,2011-01-24,151.5,travel,Public Tr RAIL - RTN,66644
1482,"Stuart, Graham",Conservative,10_11,2010-10-15,52.16,general admin,Stationery Purchase,35536
1482,"Stuart, Graham",Conservative,10_11,2011-02-08,15,travel,Food & Drink @ Parliament,72831
1482,"Stuart, Graham",Conservative,10_11,2010-11-22,15,travel,Food & Drink @ Parliament,56621
1482,"Stuart, Graham",Conservative,10_11,2011-01-10,15.6,travel,Parking MP,66644
1482,"Stuart, Graham",Conservative,10_11,2010-06-11,3.2,travel,Own Car MP,31312
1482,"Stuart, Graham",Conservative,10_11,2010-12-13,4.8,travel,Own Car MP,58365
1482,"Stuart, Graham",Conservative,10_11,2010-09-13,5.05,general admin,Postage Purchase,47459
1482,"Stuart, Graham",Conservative,10_11,2010-11-22,15.6,travel,Parking MP,54543
1482,"Stuart, Graham",Conservative,10_11,2011-03-04,12.19,constituency rental,Const Office Tel. Usage/Rental,68273
1482,"Stuart, Graham",Conservative,10_11,2010-10-11,73,travel,Public Tr RAIL - SGL,44338
1482,"Stuart, Graham",Conservative,10_11,2010-06-14,30.36,constituency rental,Const Office Telephone Usage,12083
1482,"Stuart, Graham",Conservative,10_11,2011-01-02,28.82,general admin,Other,56634
1482,"Stuart, Graham",Conservative,10_11,2010-06-24,11.99,general admin,Stationery Purchase,7522
1482,"Stuart, Graham",Conservative,10_11,2010-11-03,29.4,staffing,Food & Drink Intern/Volunteer,47453
1482,"Stuart, Graham",Conservative,10_11,2011-02-28,42.65,staffing,Food & Drink Intern/Volunteer,72831
1482,"Stuart, Graham",Conservative,10_11,2010-11-04,69.65,staffing,Food & Drink Intern/Volunteer,47453
1482,"Stuart, Graham",Conservative,10_11,2010-07-29,59.08,general admin,Payment Telephone/Mobile,30301
1482,"Stuart, Graham",Conservative,10_11,2010-09-14,966.66,accommodation,Accommodation Rent,30233
1482,"Stuart, Graham",Conservative,10_11,2011-01-24,40.35,staffing,Food & Drink Intern/Volunteer,65068
1482,"Stuart, Graham",Conservative,10_11,2010-11-01,73,travel,Public Tr RAIL - SGL,54543
1482,"Stuart, Graham",Conservative,10_11,2010-12-09,4.8,travel,Own Car MP,58365
1482,"Stuart, Graham",Conservative,10_11,2011-03-21,4.9,general admin,Hospitality,83577
1482,"Stuart, Graham",Conservative,10_11,2010-11-15,51.6,staffing,Public Tr OTHER Int/Volntr,49210
