id,list_name,party,session,date,value,category,description,claim_number
403,"Sutcliffe, Gerry",Labour,11_12,2012-03-21,7,travel,Parking,0000164193
403,"Sutcliffe, Gerry",Labour,11_12,2011-09-05,49.05,travel,Public Tr RAIL MP Staff - SGL,116398
403,"Sutcliffe, Gerry",Labour,11_12,2012-02-02,36.64,office costs,Photocopier Hire,0000152621
403,"Sutcliffe, Gerry",Labour,12_13,2012-07-20,1.95,travel,Public Tr RAIL - SGL,0000196489
403,"Sutcliffe, Gerry",Labour,12_13,2012-06-28,30,travel,Public Tr UND,0000196489
403,"Sutcliffe, Gerry",Labour,12_13,2012-10-11,12.15,travel,Own Vehicle Car MP Staff,0000214846
403,"Sutcliffe, Gerry",Labour,12_13,2012-07-30,9.05,travel,Public Tr RAIL - RTN,0000203385
403,"Sutcliffe, Gerry",Labour,12_13,2013-01-19,1,travel,Parking,0000242555
403,"Sutcliffe, Gerry",Labour,12_13,2012-04-27,7.65,travel,Own Car MP,0000175908
403,"Sutcliffe, Gerry",Labour,12_13,2012-04-04,4.99,office costs,Other,0000165463
403,"Sutcliffe, Gerry",Labour,12_13,2012-07-01,2.6,travel,Public Tr RAIL - RTN,0000196489
403,"Sutcliffe, Gerry",Labour,10_11,2010-06-30,8,travel,Own Car MP,34891
403,"Sutcliffe, Gerry",Labour,10_11,2010-10-07,3,travel,Parking MP,51235
403,"Sutcliffe, Gerry",Labour,10_11,2010-07-13,157.34,general admin,Payment Telephone/Mobile,13123
403,"Sutcliffe, Gerry",Labour,10_11,2010-07-03,2,travel,Own Car MP,34891
403,"Sutcliffe, Gerry",Labour,10_11,2010-07-31,1300,accommodation,Accommodation Rent,38626
403,"Sutcliffe, Gerry",Labour,10_11,2011-02-11,1.8,travel,Public Tr RAIL - RTN,74381
403,"Sutcliffe, Gerry",Labour,10_11,2010-08-25,11.9,travel,Public Tr RAIL MP Staff - RTN,33946
403,"Sutcliffe, Gerry",Labour,10_11,2010-10-13,89.7,travel,Public Tr RAIL MP Staff - RTN,44481
403,"Sutcliffe, Gerry",Labour,10_11,2010-07-14,420.19,constituency rental,Const Office Electricity,15438
