id,list_name,party,session,date,value,category,description,claim_number
1170,"Teather, Sarah",Liberal Democrat,12_13,2013-02-28,210,office costs,Stationery Purchase,0000251926
1170,"Teather, Sarah",Liberal Democrat,12_13,2012-10-18,10,travel,Public Tr UND,0000220548
1170,"Teather, Sarah",Liberal Democrat,12_13,2012-07-11,12.84,office costs,Stationery Purchase,0000190712
1170,"Teather, Sarah",Liberal Democrat,12_13,2012-05-08,121.62,office costs,Stationery Purchase,0000172706
1170,"Teather, Sarah",Liberal Democrat,12_13,2012-06-07,407.89,office costs,Stationery Purchase,0000180505
1170,"Teather, Sarah",Liberal Democrat,12_13,2012-09-18,1.08,travel,Own Vehicle Car,0000220258
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-09-17,3288,constituency rental,Business Rates,31282
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-10-25,4.02,travel,Food & Drink MP,42089
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,0,staffing,Public Tr OTHER Int/Volntr,67484
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-10-08,140.08,general admin,Landline Hire,38679
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-22,0.65,general admin,Stationery Purchase,71190
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,1.5,staffing,Food & Drink Intern/Volunteer,67486
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-17,17.46,constituency rental,Const Office Water,70355
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-09-07,130.74,general admin,Stationery Purchase,28351
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-02,32,staffing,Public Tr OTHER Int/Volntr,45060
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-05,30.71,general admin,Landline Hire,46247
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-06,100.27,general admin,Landline Hire,59411
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-02,15,staffing,Public Tr OTHER Int/Volntr,42116
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-08,56,staffing,Public Tr OTHER Int/Volntr,48342
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-17,18.04,general admin,Professional Services,57236
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-07-23,234.12,constituency rental,Const Office Electricity,16783
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-20,36,staffing,Public Tr OTHER Int/Volntr,63394
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-02,3,staffing,Public Tr OTHER Int/Volntr,45060
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-03-16,128.98,staffing,Public Tr UND Int/Volntr,76957
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-10,4000,constituency rental,Const Office Rent,55650
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-06,82.9,general admin,Stationery Purchase,59407
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-06,45.67,general admin,Stationery Purchase,59404
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-17,34.48,staffing,Food & Drink Intern/Volunteer,57226
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-15,24,staffing,Food & Drink Intern/Volunteer,45203
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-07-23,130,general admin,Computer SW Purchase,16784
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-02,80,staffing,Public Tr OTHER Int/Volntr,52629
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-15,77.85,constituency rental,Const Office Electricity,48354
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-05,25.85,staffing,Food & Drink Intern/Volunteer,46276
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,1.5,staffing,Food & Drink Intern/Volunteer,67483
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-10-08,360,general admin,Other,38604
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-03-23,3080,constituency rental,Const Office Rent,78100
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-19,62.49,general admin,Stationery Purchase,49557
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-10-04,141.31,general admin,Landline Hire,36511
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-11-15,182.57,constituency rental,Contents Insurance,48349
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-28,263,general admin,Professional Services,65163
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-07-23,60,general admin,Professional Services,16765
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,1.5,staffing,Food & Drink Intern/Volunteer,67480
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-03-23,169.32,general admin,Stationery Purchase,78233
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-22,238.17,general admin,Stationery Purchase,71190
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-28,2369,staffing,Professional Services (Staff.),65161
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,47,staffing,Public Tr OTHER Int/Volntr,67477
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-17,92.4,general admin,Install/Maint Office Equip.,70297
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-28,106.46,general admin,Stationery Purchase,65170
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-22,7.88,general admin,Stationery Purchase,71190
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-02-03,48.5,staffing,Public Tr OTHER Int/Volntr,67485
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-10,93.5,staffing,Public Tr UND Int/Volntr,55712
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-10-04,54,general admin,Venue Hire,36508
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-07-23,665,general admin,Professional Services,16768
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-09-09,60,general admin,Computer SW Purchase,29122
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-20,80,general admin,Professional Services,63374
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-10,13.75,general admin,Stationery Purchase,55648
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-07-23,11.65,general admin,Stationery Purchase,16779
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-03-23,19.67,general admin,Stationery Purchase,78233
1170,"Teather, Sarah",Liberal Democrat,10_11,2011-01-13,132.09,general admin,Landline Hire,61251
1170,"Teather, Sarah",Liberal Democrat,10_11,2010-12-17,306.79,general admin,Professional Services,57243
