id,list_name,party,session,date,value,category,description,claim_number
4105,"Tomlinson, Justin",Conservative,12_13,2012-07-09,47.6,travel,Public Tr RAIL - RTN,0000190583
4105,"Tomlinson, Justin",Conservative,12_13,2012-04-25,114,accommodation,Council Tax,0000168286
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-24,924.44,accommodation,Accommodation Rent,13341
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-04,39.8,travel,Public Tr RAIL - RTN,13266
4105,"Tomlinson, Justin",Conservative,10_11,2010-05-17,39.8,travel,Public Tr RAIL - RTN,4493
4105,"Tomlinson, Justin",Conservative,10_11,2010-12-02,117.5,general admin,Stationery Purchase,52628
4105,"Tomlinson, Justin",Conservative,10_11,2011-02-27,39,travel,Public Tr RAIL - RTN,72847
4105,"Tomlinson, Justin",Conservative,10_11,2010-10-14,47.63,accommodation,Electricity,45274
4105,"Tomlinson, Justin",Conservative,10_11,2010-12-01,924.44,accommodation,Accommodation Rent,52611
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-16,562.5,constituency rental,Business Rates,49060
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-09,32.8,travel,Own Car MP,70464
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-14,375,constituency rental,Business Rates,30397
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-28,99.89,general admin,Telephone/Mobile Purchase,18653
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-25,39.8,travel,Public Tr RAIL - RTN,18424
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-14,39,travel,Public Tr RAIL - RTN,78296
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-03,5.51,general admin,Payment Telephone/Mobile,30391
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-16,514.06,constituency rental,Const Office Rent,49059
4105,"Tomlinson, Justin",Conservative,10_11,2010-08-26,293.75,general admin,Computer SW Purchase,25484
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-17,39,travel,Public Tr RAIL - RTN,63473
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-18,39.8,travel,Public Tr RAIL - RTN,18424
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-20,48.17,general admin,Install/Maint Office Equip.,41043
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-11,514.06,constituency rental,Const Office Rent,60379
4105,"Tomlinson, Justin",Conservative,10_11,2010-10-08,131.44,general admin,Stationery Purchase,39882
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-13,32.8,travel,Own Car MP,70464
4105,"Tomlinson, Justin",Conservative,10_11,2011-02-07,39,travel,Public Tr RAIL - RTN,69645
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-14,36.62,accommodation,Electricity,41036
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-07,48,travel,Public Tr RAIL - RTN,48586
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-06,43.49,accommodation,Electricity,52603
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-14,39.8,travel,Public Tr RAIL - RTN,4565
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-23,562.5,constituency rental,Business Rates,78300
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-21,39.8,travel,Public Tr RAIL - RTN,13258
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-28,38.19,general admin,Security,18657
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-23,525,constituency rental,Const Office Rent,78299
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-03,213.33,accommodation,Accommodation Rent,13341
4105,"Tomlinson, Justin",Conservative,10_11,2010-10-18,39.8,travel,Public Tr RAIL - RTN,45271
4105,"Tomlinson, Justin",Conservative,10_11,2010-08-26,39.8,travel,Public Tr RAIL - RTN,25479
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-01,121.57,general admin,Stationery Purchase,72849
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-11,55.27,general admin,Stationery Purchase,60390
4105,"Tomlinson, Justin",Conservative,10_11,2010-12-20,20,travel,Public Tr RAIL - SGL,60384
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-28,924.44,accommodation,Accommodation Rent,81901
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-14,924.44,accommodation,Accommodation Rent,30384
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-11,514.06,constituency rental,Const Office Rent,60378
4105,"Tomlinson, Justin",Conservative,10_11,2010-05-24,39.8,travel,Public Tr RAIL - RTN,4507
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-07,39,travel,Public Tr RAIL - RTN,78294
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-24,924.44,accommodation,Accommodation Rent,13341
4105,"Tomlinson, Justin",Conservative,10_11,2011-01-30,39,travel,Public Tr RAIL - RTN,69643
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-22,39.8,travel,Public Tr RAIL - RTN,50876
4105,"Tomlinson, Justin",Conservative,10_11,2010-12-01,924.44,accommodation,Accommodation Rent,52611
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-01,39.8,travel,Public Tr RAIL - RTN,4558
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-28,8.5,general admin,Stationery Purchase,18655
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-27,39.8,travel,Public Tr RAIL - RTN,13266
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-05,39.8,travel,Public Tr RAIL - RTN,29005
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-14,514.06,constituency rental,Const Office Rent,30397
4105,"Tomlinson, Justin",Conservative,10_11,2011-02-17,25,general admin,Office Furniture Purchase,70457
4105,"Tomlinson, Justin",Conservative,10_11,2011-02-15,525,constituency rental,Const Office Rent,69665
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-28,516.09,constituency rental,Const Office Rent,30482
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-28,132.19,general admin,Removal Costs,18698
4105,"Tomlinson, Justin",Conservative,10_11,2010-08-26,360.72,general admin,Stationery Purchase,25482
4105,"Tomlinson, Justin",Conservative,10_11,2010-10-28,23,travel,Public Tr RAIL - SGL,48585
4105,"Tomlinson, Justin",Conservative,10_11,2010-07-11,39.8,travel,Public Tr RAIL - RTN,13266
4105,"Tomlinson, Justin",Conservative,10_11,2010-12-13,39.8,travel,Public Tr RAIL - RTN,60383
4105,"Tomlinson, Justin",Conservative,10_11,2011-03-28,39,travel,Public Tr RAIL - RTN,81865
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-15,39.8,travel,Public Tr RAIL - RTN,48590
4105,"Tomlinson, Justin",Conservative,10_11,2010-06-07,39.8,travel,Public Tr RAIL - RTN,4562
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-22,475.43,accommodation,Council Tax,41037
4105,"Tomlinson, Justin",Conservative,10_11,2010-10-10,39.8,travel,Public Tr RAIL - RTN,39837
4105,"Tomlinson, Justin",Conservative,10_11,2011-02-14,39,travel,Public Tr RAIL - RTN,69647
4105,"Tomlinson, Justin",Conservative,10_11,2010-09-16,238.53,general admin,Stationery Purchase,31211
4105,"Tomlinson, Justin",Conservative,10_11,2010-11-16,514.06,constituency rental,Const Office Rent,49055
