id,list_name,party,session,date,value,category,description,claim_number
335,"Tredinnick, David",Conservative,12_13,2012-11-15,89.1,travel,Own Vehicle Car,0000218975
335,"Tredinnick, David",Conservative,12_13,2012-08-22,333.33,office costs,Const Office Rent,Payment to Supplier
335,"Tredinnick, David",Conservative,12_13,2012-12-15,44.55,travel,Own Vehicle Car,0000223209
335,"Tredinnick, David",Conservative,12_13,2012-04-08,200,office costs,Tel/Mobile Purchase,0000168073
335,"Tredinnick, David",Conservative,12_13,2013-03-14,546.18,office costs,Stationery Purchase,0000255434
335,"Tredinnick, David",Conservative,10_11,2010-10-18,198.22,general admin,Stationery Purchase,40456
335,"Tredinnick, David",Conservative,10_11,2011-02-26,6,constituency rental,Const Office Internet Rental,69529
335,"Tredinnick, David",Conservative,10_11,2011-03-04,4.4,travel,Own Car MP Staff,75100
335,"Tredinnick, David",Conservative,10_11,2011-01-19,50.6,travel,Public Tr RAIL MP Staff - RTN,63278
335,"Tredinnick, David",Conservative,10_11,2011-03-02,3.9,constituency rental,Const Office Tel. Usage/Rental,69529
335,"Tredinnick, David",Conservative,10_11,2010-06-18,84,travel,Own Car MP,16009
335,"Tredinnick, David",Conservative,10_11,2010-06-06,92,travel,Own Car MP,16009
335,"Tredinnick, David",Conservative,10_11,2010-09-29,195,general admin,Telephone/Mobile Hire,34379
335,"Tredinnick, David",Conservative,10_11,2010-11-09,886.2,general admin,Stationery Purchase,49855
335,"Tredinnick, David",Conservative,10_11,2011-03-10,1400,accommodation,Accommodation Rent,75634
335,"Tredinnick, David",Conservative,10_11,2011-03-31,983,general admin,Website - Design/Production,84919
335,"Tredinnick, David",Conservative,10_11,2010-11-23,55.14,constituency rental,Const Office Water,46811
335,"Tredinnick, David",Conservative,10_11,2011-03-23,5,travel,Parking MP Staff,63278
335,"Tredinnick, David",Conservative,10_11,2011-01-06,9.53,constituency rental,Const Office Tel. Usage/Rental,54976
335,"Tredinnick, David",Conservative,10_11,2010-12-12,76,constituency rental,Const Office Electricity,54976
335,"Tredinnick, David",Conservative,10_11,2010-10-01,36.64,constituency rental,Contents Insurance,46811
335,"Tredinnick, David",Conservative,10_11,2011-03-10,104,travel,Own Car MP,75672
335,"Tredinnick, David",Conservative,10_11,2010-09-26,6,constituency rental,Const Office Internet Rental,46811
335,"Tredinnick, David",Conservative,10_11,2010-06-02,40.4,travel,Public Tr RAIL MP Staff - SGL,11627
335,"Tredinnick, David",Conservative,10_11,2010-06-27,72,travel,Own Car MP,16009
335,"Tredinnick, David",Conservative,10_11,2010-11-24,100,travel,Own Car MP,50256
335,"Tredinnick, David",Conservative,10_11,2010-12-15,61.1,office costs,Stationery Purchase,55501
335,"Tredinnick, David",Conservative,10_11,2010-11-05,16,travel,Own Car MP Staff,46639
335,"Tredinnick, David",Conservative,10_11,2010-11-09,1450,accommodation,Accommodation Rent,46706
335,"Tredinnick, David",Conservative,10_11,2010-12-01,333.33,constituency rental,Const Office Hire of Premises,46811
335,"Tredinnick, David",Conservative,10_11,2011-03-04,1,travel,Parking MP Staff,63278
335,"Tredinnick, David",Conservative,10_11,2010-07-19,1360,staffing,Professional Services (Staff.),15248
335,"Tredinnick, David",Conservative,10_11,2010-11-10,159,travel,Public Tr RAIL Foreign,54562
335,"Tredinnick, David",Conservative,10_11,2010-11-22,47.2,travel,Public Tr RAIL MP Staff - RTN,52424
335,"Tredinnick, David",Conservative,10_11,2010-05-25,70,travel,Public Tr RAIL MP Staff - SGL,15224
335,"Tredinnick, David",Conservative,10_11,2011-01-19,663,staffing,Professional Services (Staff.),63303
335,"Tredinnick, David",Conservative,10_11,2010-10-29,333.33,constituency rental,Const Office Hire of Premises,46549
335,"Tredinnick, David",Conservative,10_11,2010-11-24,97.75,general admin,Stationery Purchase,50283
335,"Tredinnick, David",Conservative,10_11,2010-11-08,47.2,travel,Public Tr RAIL MP Staff - RTN,46561
335,"Tredinnick, David",Conservative,10_11,2010-10-12,74.76,constituency rental,Business Rates,46811
335,"Tredinnick, David",Conservative,10_11,2011-01-19,5,travel,Parking MP Staff,63278
335,"Tredinnick, David",Conservative,10_11,2011-01-19,1450,accommodation,Accommodation Rent,63300
335,"Tredinnick, David",Conservative,10_11,2010-10-04,9,constituency rental,Const Office Tel. Usage/Rental,46811
335,"Tredinnick, David",Conservative,10_11,2011-01-04,333.33,constituency rental,Const Office Hire of Premises,54976
