id,list_name,party,session,date,value,category,description,claim_number
4030,"Turner, Karl",Labour,11_12,2011-05-15,38.48,constituency rental,Const Office Internet Rental,92008
4030,"Turner, Karl",Labour,12_13,2013-02-01,214.18,office costs,Const Office Tel. Usage/Rental,0000243747
4030,"Turner, Karl",Labour,12_13,2012-06-22,90,travel,Public Tr RAIL MP Staff - RTN,0000188785
4030,"Turner, Karl",Labour,12_13,2012-12-31,300,office costs,Other Equip Purchase,0000243691
4030,"Turner, Karl",Labour,12_13,2012-09-29,82.35,travel,Own Vehicle Car MP Staff,0000211646
4030,"Turner, Karl",Labour,12_13,2013-02-15,11.56,accommodation,Home Contents Insurance,0000243687
4030,"Turner, Karl",Labour,12_13,2012-07-13,90,travel,Public Tr RAIL - RTN,0000196354
4030,"Turner, Karl",Labour,10_11,2011-02-13,54.5,travel,Own Car MP,72835
4030,"Turner, Karl",Labour,10_11,2010-11-25,27,constituency rental,Business Rates,50862
4030,"Turner, Karl",Labour,10_11,2010-10-17,120.81,general admin,Stationery Purchase,50819
4030,"Turner, Karl",Labour,10_11,2010-07-01,277.92,general admin,Stationery Purchase,9550
4030,"Turner, Karl",Labour,10_11,2010-12-02,75,travel,Public Tr RAIL MP Staff - SGL,62034
4030,"Turner, Karl",Labour,10_11,2011-01-09,87.2,travel,Own Car MP,64887
4030,"Turner, Karl",Labour,10_11,2010-06-25,129,travel,Public Tr RAIL - RTN,19383
4030,"Turner, Karl",Labour,10_11,2010-07-11,87.2,travel,Own Car MP,15795
4030,"Turner, Karl",Labour,10_11,2010-11-18,8,travel,Congestion Zone/Toll MP,58635
4030,"Turner, Karl",Labour,10_11,2010-12-22,51,travel,Public Tr RAIL - SGL,62404
4030,"Turner, Karl",Labour,10_11,2010-09-14,29.1,accommodation,Television Licence,30382
4030,"Turner, Karl",Labour,10_11,2011-01-27,270.92,accommodation,Gas,67334
4030,"Turner, Karl",Labour,10_11,2011-01-27,27,constituency rental,Business Rates,64850
4030,"Turner, Karl",Labour,10_11,2011-01-27,87.2,travel,Own Car MP,64887
4030,"Turner, Karl",Labour,10_11,2010-12-12,87.2,travel,Own Car MP,58636
4030,"Turner, Karl",Labour,10_11,2011-01-01,160.5,constituency rental,Const Office Tel. Usage/Rental,64850
4030,"Turner, Karl",Labour,10_11,2011-01-23,84.66,general admin,Stationery Purchase,76780
4030,"Turner, Karl",Labour,10_11,2010-12-02,87.2,travel,Own Car MP,58636
4030,"Turner, Karl",Labour,10_11,2010-11-04,87.2,travel,Own Car MP,47000
4030,"Turner, Karl",Labour,10_11,2010-08-13,389.51,general admin,Stationery Purchase,23100
4030,"Turner, Karl",Labour,10_11,2010-11-30,0,constituency rental,Const Office Internet Rental,58634
4030,"Turner, Karl",Labour,10_11,2011-01-26,900,accommodation,Accommodation Rent,Payment to Supplier
4030,"Turner, Karl",Labour,10_11,2010-09-10,135,accommodation,Council Tax,30381
4030,"Turner, Karl",Labour,10_11,2010-10-17,87.2,travel,Own Car MP,41076
4030,"Turner, Karl",Labour,10_11,2010-11-25,12.12,accommodation,Television Licence,50850
4030,"Turner, Karl",Labour,10_11,2010-06-07,22.5,general admin,Venue Hire,2915
4030,"Turner, Karl",Labour,10_11,2010-07-25,87.2,travel,Own Car MP,20867
4030,"Turner, Karl",Labour,10_11,2010-07-03,189.29,constituency rental,Const Office Telephone Rental,15782
4030,"Turner, Karl",Labour,10_11,2010-07-18,87.2,travel,Own Car MP,15795
4030,"Turner, Karl",Labour,10_11,2010-09-14,24.25,general admin,Television Licence Purchase,30394
4030,"Turner, Karl",Labour,10_11,2010-11-16,88.17,accommodation,Electricity,50850
4030,"Turner, Karl",Labour,10_11,2010-08-03,7.24,accommodation,Home Contents Insurance,20891
4030,"Turner, Karl",Labour,10_11,2011-02-28,54.5,travel,Own Car MP,72835
4030,"Turner, Karl",Labour,10_11,2010-08-09,87.2,travel,Own Car MP Staff,41089
4030,"Turner, Karl",Labour,10_11,2010-12-16,93.94,travel,Car Hire MP,68488
4030,"Turner, Karl",Labour,10_11,2010-11-25,362,constituency rental,Const Office Rent,50862
4030,"Turner, Karl",Labour,10_11,2011-01-15,38.48,constituency rental,Const Office Tel. Usage/Rental,64850
4030,"Turner, Karl",Labour,10_11,2010-07-16,7.24,accommodation,Home Contents Insurance,11863
4030,"Turner, Karl",Labour,10_11,2010-07-01,124.58,general admin,Stationery Purchase,9549
4030,"Turner, Karl",Labour,10_11,2010-11-15,102.41,accommodation,Gas,50850
4030,"Turner, Karl",Labour,10_11,2010-06-01,900,accommodation,Accommodation Rent,11850
4030,"Turner, Karl",Labour,10_11,2010-10-22,87.2,travel,Own Car MP,47000
4030,"Turner, Karl",Labour,10_11,2010-09-01,362,constituency rental,Const Office Rent,30387
4030,"Turner, Karl",Labour,10_11,2011-02-18,9,travel,Congestion Zone/Toll MP,83039
4030,"Turner, Karl",Labour,10_11,2010-12-30,7.24,accommodation,Home Contents Insurance,58633
4030,"Turner, Karl",Labour,10_11,2010-11-25,900,accommodation,Accommodation Rent,50850
4030,"Turner, Karl",Labour,10_11,2011-02-06,87.2,travel,Own Car MP,68489
4030,"Turner, Karl",Labour,10_11,2011-02-20,84.66,general admin,Stationery Purchase,86587
4030,"Turner, Karl",Labour,10_11,2010-06-10,79,travel,Public Tr RAIL - RTN,11187
4030,"Turner, Karl",Labour,10_11,2010-10-21,148.5,travel,Public Tr RAIL - RTN,44369
4030,"Turner, Karl",Labour,10_11,2010-10-10,87.2,travel,Own Car MP,41076
4030,"Turner, Karl",Labour,10_11,2011-03-10,54.5,travel,Own Car MP,76777
4030,"Turner, Karl",Labour,10_11,2011-02-16,204,constituency rental,Const Office Tel. Usage/Rental,72836
4030,"Turner, Karl",Labour,10_11,2011-01-15,7.24,accommodation,Home Contents Insurance,62405
4030,"Turner, Karl",Labour,10_11,2010-06-07,1253.26,general admin,Office Furniture Purchase,2923
4030,"Turner, Karl",Labour,10_11,2010-06-16,35,travel,Public Tr RAIL - SGL,5496
4030,"Turner, Karl",Labour,10_11,2010-11-11,8,travel,Congestion Zone/Toll MP,50817
4030,"Turner, Karl",Labour,10_11,2010-10-03,87.2,travel,Own Car MP,41076
