id,list_name,party,session,date,value,category,description,claim_number
1496,"Vara, Shailesh",Conservative,11_12,2011-07-30,34.65,travel,Own Car MP,118823
1496,"Vara, Shailesh",Conservative,12_13,2012-11-14,0.65,office costs,Stationery Purchase,Payment to Supplier
1496,"Vara, Shailesh",Conservative,12_13,2012-05-17,3.15,travel,Own Vehicle Car MP Staff,0000198207
1496,"Vara, Shailesh",Conservative,12_13,2012-06-01,74.98,office costs,Tel/Mobile Purchase,0000179655
1496,"Vara, Shailesh",Conservative,12_13,2012-11-14,20.57,office costs,Stationery Purchase,Payment to Supplier
1496,"Vara, Shailesh",Conservative,12_13,2012-09-30,34.65,travel,Own Vehicle Car,0000228063
1496,"Vara, Shailesh",Conservative,12_13,2012-10-03,300,office costs,Professional Services,0000210055
1496,"Vara, Shailesh",Conservative,10_11,2010-09-19,30.8,travel,Own Car MP,34521
1496,"Vara, Shailesh",Conservative,10_11,2011-01-29,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2010-09-23,16.7,travel,Taxi MP,34611
1496,"Vara, Shailesh",Conservative,10_11,2010-12-18,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2010-12-24,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2011-01-03,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2011-03-12,12.8,travel,Own Car MP,96994
1496,"Vara, Shailesh",Conservative,10_11,2011-02-06,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2010-11-25,14.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2010-08-18,30.8,travel,Own Car MP,34521
1496,"Vara, Shailesh",Conservative,10_11,2010-05-28,30.8,travel,Own Car MP,34521
1496,"Vara, Shailesh",Conservative,10_11,2010-05-29,12.8,travel,Own Car MP,34521
1496,"Vara, Shailesh",Conservative,10_11,2010-11-25,30.8,travel,Own Car MP,70978
1496,"Vara, Shailesh",Conservative,10_11,2010-11-25,1197.8,general admin,Stationery Purchase,71011
1496,"Vara, Shailesh",Conservative,10_11,2010-08-10,30.8,travel,Own Car MP,34521
1496,"Vara, Shailesh",Conservative,10_11,2011-01-20,22,travel,Public Tr RAIL - SGL,70989
1496,"Vara, Shailesh",Conservative,10_11,2010-11-28,30.8,travel,Own Car MP,70978
