id,list_name,party,session,date,value,category,description,claim_number
4076,"Vaz, Valerie",Labour,11_12,2011-11-28,57.15,travel,Own Car MP Staff,0000134351
4076,"Vaz, Valerie",Labour,11_12,2012-03-20,1054.7,office costs,Const Office Electricity,0000159877
4076,"Vaz, Valerie",Labour,12_13,2012-12-18,4.78,office costs,Stationery Purchase,Payment to Supplier
4076,"Vaz, Valerie",Labour,12_13,2013-03-09,76.64,office costs,Stationery Purchase,Payment to Supplier
4076,"Vaz, Valerie",Labour,12_13,2013-03-25,311.09,office costs,Const Office Electricity,0000265322
4076,"Vaz, Valerie",Labour,10_11,2010-12-10,2.8,travel,Own Car MP,56032
4076,"Vaz, Valerie",Labour,10_11,2010-06-26,50,travel,Own Car MP,8983
4076,"Vaz, Valerie",Labour,10_11,2010-06-30,581,accommodation,Accommodation Rent,23602
4076,"Vaz, Valerie",Labour,10_11,2010-10-06,28,staffing,Public Tr UND Int/Volntr,38111
4076,"Vaz, Valerie",Labour,10_11,2011-03-15,29.25,travel,Public Tr RAIL MP Staff - RTN,78207
4076,"Vaz, Valerie",Labour,10_11,2011-01-28,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-05-27,84.46,general admin,Advertising,6483
4076,"Vaz, Valerie",Labour,10_11,2011-03-30,306,constituency rental,Contents Insurance,79878
4076,"Vaz, Valerie",Labour,10_11,2010-08-18,16.63,general admin,Advertising,28723
4076,"Vaz, Valerie",Labour,10_11,2010-11-04,31.9,travel,Public Tr RAIL MP Staff - RTN,49967
4076,"Vaz, Valerie",Labour,10_11,2010-12-17,0.4,general admin,Other,68137
4076,"Vaz, Valerie",Labour,10_11,2010-11-26,4,travel,Own Car MP,51853
4076,"Vaz, Valerie",Labour,10_11,2010-10-18,119.45,general admin,Professional Services,40623
4076,"Vaz, Valerie",Labour,10_11,2010-08-20,50.87,general admin,Stationery Purchase,24697
4076,"Vaz, Valerie",Labour,10_11,2010-11-25,194.89,accommodation,Telephone Usage/Rental,50736
4076,"Vaz, Valerie",Labour,10_11,2011-03-03,81,staffing,Professional Services (Staff.),74905
4076,"Vaz, Valerie",Labour,10_11,2010-10-11,189.18,general admin,Stationery Purchase,39003
4076,"Vaz, Valerie",Labour,10_11,2011-03-10,265,constituency rental,Contents Insurance,76029
4076,"Vaz, Valerie",Labour,10_11,2011-02-07,15,constituency rental,Const Office Internet Usage,68133
4076,"Vaz, Valerie",Labour,10_11,2011-03-11,70,general admin,Professional Services,76046
4076,"Vaz, Valerie",Labour,10_11,2010-10-24,2,travel,Own Car MP,42308
4076,"Vaz, Valerie",Labour,10_11,2010-11-04,5.6,travel,Public Tr UND MP Staff,49967
4076,"Vaz, Valerie",Labour,10_11,2010-10-22,50,travel,Own Car MP,42308
4076,"Vaz, Valerie",Labour,10_11,2010-10-22,2,travel,Own Car MP,42308
4076,"Vaz, Valerie",Labour,10_11,2010-08-17,581,accommodation,Accommodation Rent,23602
4076,"Vaz, Valerie",Labour,10_11,2010-06-30,42.02,general admin,Professional Services,8970
4076,"Vaz, Valerie",Labour,10_11,2011-03-03,301.12,general admin,Stationery Purchase,73792
4076,"Vaz, Valerie",Labour,10_11,2010-11-19,55.18,general admin,Stationery Purchase,49735
4076,"Vaz, Valerie",Labour,10_11,2010-09-27,78.95,travel,Public Tr RAIL MP Staff - RTN,44321
4076,"Vaz, Valerie",Labour,10_11,2011-02-08,134.45,accommodation,Telephone Usage/Rental,68469
4076,"Vaz, Valerie",Labour,10_11,2010-11-05,2,travel,Own Car MP,46412
4076,"Vaz, Valerie",Labour,10_11,2011-01-25,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-10-24,50,travel,Own Car MP,42308
4076,"Vaz, Valerie",Labour,10_11,2011-03-23,2.65,staffing,Food & Drink Intern/Volunteer,86175
4076,"Vaz, Valerie",Labour,10_11,2010-11-29,4,travel,Own Car MP,52025
4076,"Vaz, Valerie",Labour,10_11,2010-12-16,50,travel,Own Car MP,58057
4076,"Vaz, Valerie",Labour,10_11,2010-09-10,3.2,travel,Own Car MP,29815
4076,"Vaz, Valerie",Labour,10_11,2010-05-20,50,travel,Own Car MP,5166
4076,"Vaz, Valerie",Labour,10_11,2010-11-30,4,travel,Own Car MP,52269
4076,"Vaz, Valerie",Labour,10_11,2011-01-24,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-10-15,2,travel,Own Car MP,40687
4076,"Vaz, Valerie",Labour,10_11,2010-10-26,19.98,travel,Food & Drink MP Staff,44850
4076,"Vaz, Valerie",Labour,10_11,2010-07-20,54,travel,Own Car MP,17493
4076,"Vaz, Valerie",Labour,10_11,2011-03-23,581,accommodation,Accommodation Rent,Payment to Supplier
4076,"Vaz, Valerie",Labour,10_11,2011-01-18,18.91,accommodation,Water,63045
4076,"Vaz, Valerie",Labour,10_11,2011-02-11,31.25,travel,Own Car MP,69333
4076,"Vaz, Valerie",Labour,10_11,2011-02-11,3.5,travel,Own Car MP,69333
4076,"Vaz, Valerie",Labour,10_11,2011-01-17,7.5,general admin,Security,68184
4076,"Vaz, Valerie",Labour,10_11,2010-12-09,47.5,travel,Public Tr RAIL MP Staff - SGL,61981
4076,"Vaz, Valerie",Labour,10_11,2011-02-15,493.8,general admin,Stationery Purchase,69888
4076,"Vaz, Valerie",Labour,10_11,2010-11-13,2.8,travel,Own Car MP,48341
4076,"Vaz, Valerie",Labour,10_11,2010-07-11,48,travel,Own Car MP,15349
4076,"Vaz, Valerie",Labour,10_11,2010-07-03,50,travel,Own Car MP,15349
4076,"Vaz, Valerie",Labour,10_11,2011-02-10,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-10-08,50,travel,Own Car MP,38810
4076,"Vaz, Valerie",Labour,10_11,2010-12-20,0.4,general admin,Other,68137
4076,"Vaz, Valerie",Labour,10_11,2011-01-07,0.4,general admin,Other,68137
4076,"Vaz, Valerie",Labour,10_11,2011-02-27,1360,staffing,Professional Services (Staff.),76222
4076,"Vaz, Valerie",Labour,10_11,2011-02-25,1920.7,general admin,Computer HW Purchase,72860
4076,"Vaz, Valerie",Labour,10_11,2011-01-06,500,constituency rental,Const Office Hire of Premises,60128
4076,"Vaz, Valerie",Labour,10_11,2011-02-18,31.25,travel,Own Car MP,71020
4076,"Vaz, Valerie",Labour,10_11,2011-03-05,25.87,general admin,Stationery Purchase,74904
4076,"Vaz, Valerie",Labour,10_11,2011-03-03,31.75,travel,Own Car MP,73832
4076,"Vaz, Valerie",Labour,10_11,2010-12-15,302.15,accommodation,Council Tax,56697
4076,"Vaz, Valerie",Labour,10_11,2010-07-22,36.99,general admin,Stationery Purchase,16607
4076,"Vaz, Valerie",Labour,10_11,2011-02-28,5.5,general admin,Other,76724
4076,"Vaz, Valerie",Labour,10_11,2011-01-06,178.27,accommodation,Telephone Usage/Rental,59929
4076,"Vaz, Valerie",Labour,10_11,2010-07-22,115.31,accommodation,Electricity,23602
4076,"Vaz, Valerie",Labour,10_11,2010-12-16,0.4,general admin,Other,68137
4076,"Vaz, Valerie",Labour,10_11,2010-09-01,550,general admin,Website - Design/Production,26627
4076,"Vaz, Valerie",Labour,10_11,2010-08-11,-136,travel,Public Tr OTHER,27171
4076,"Vaz, Valerie",Labour,10_11,2010-09-22,50,travel,Own Car MP,32842
4076,"Vaz, Valerie",Labour,10_11,2011-01-25,811.5,general admin,Computer HW Purchase,69819
4076,"Vaz, Valerie",Labour,10_11,2010-11-05,25,general admin,Payment Telephone/Mobile,48337
4076,"Vaz, Valerie",Labour,10_11,2011-03-21,75.17,general admin,Stationery Purchase,77797
4076,"Vaz, Valerie",Labour,10_11,2011-03-30,950,general admin,Contact Cards,79916
4076,"Vaz, Valerie",Labour,10_11,2011-03-07,5.5,general admin,Postage Purchase,76721
4076,"Vaz, Valerie",Labour,10_11,2010-09-13,581,accommodation,Accommodation Rent,29788
4076,"Vaz, Valerie",Labour,10_11,2011-02-07,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-07-08,17.13,general admin,Stationery Purchase,25666
4076,"Vaz, Valerie",Labour,10_11,2011-03-16,3.6,staffing,Food & Drink Intern/Volunteer,86175
4076,"Vaz, Valerie",Labour,10_11,2010-07-18,54.16,general admin,Stationery Purchase,15362
4076,"Vaz, Valerie",Labour,10_11,2011-03-14,86.39,constituency rental,Const Office Water,76341
4076,"Vaz, Valerie",Labour,10_11,2010-11-16,11.05,travel,Food & Drink MP Staff,49834
4076,"Vaz, Valerie",Labour,10_11,2010-09-25,50,travel,Own Car MP,36334
4076,"Vaz, Valerie",Labour,10_11,2010-11-14,50,travel,Own Car MP,48341
4076,"Vaz, Valerie",Labour,10_11,2010-07-10,4,travel,Own Car MP,15349
4076,"Vaz, Valerie",Labour,10_11,2011-02-11,30,general admin,Venue Hire,69885
4076,"Vaz, Valerie",Labour,10_11,2011-02-22,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-11-24,50,travel,Own Car MP,50685
4076,"Vaz, Valerie",Labour,10_11,2011-03-19,31.5,travel,Own Car MP,77721
4076,"Vaz, Valerie",Labour,10_11,2011-02-08,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-09-19,393.94,general admin,Professional Services,47431
4076,"Vaz, Valerie",Labour,10_11,2010-11-01,201.16,accommodation,Electricity,44299
4076,"Vaz, Valerie",Labour,10_11,2010-12-07,2,travel,Own Car MP,55049
4076,"Vaz, Valerie",Labour,10_11,2010-11-15,25.5,travel,Hotel NOT London Area MP Staff,48357
4076,"Vaz, Valerie",Labour,10_11,2011-03-18,31.5,travel,Own Car MP,77721
4076,"Vaz, Valerie",Labour,10_11,2010-10-18,581,accommodation,Accommodation Rent,40680
4076,"Vaz, Valerie",Labour,10_11,2011-03-11,330,staffing,Professional Services (Staff.),76946
4076,"Vaz, Valerie",Labour,10_11,2010-05-20,50,travel,Own Car MP,5166
4076,"Vaz, Valerie",Labour,10_11,2010-08-17,24.65,accommodation,Water,23602
4076,"Vaz, Valerie",Labour,10_11,2011-02-17,0.4,general admin,Other,76663
4076,"Vaz, Valerie",Labour,10_11,2010-11-20,2,travel,Own Car MP,49674
4076,"Vaz, Valerie",Labour,10_11,2010-11-26,50,travel,Own Car MP,51853
