id,list_name,party,session,date,value,category,description,claim_number
4091,"Walker, Robin",Conservative,11_12,2011-11-11,8.7,office costs,Const Office Hire of Premises,131243
4091,"Walker, Robin",Conservative,12_13,2013-02-14,1.08,travel,Own Vehicle Car MP Staff,0000246505
4091,"Walker, Robin",Conservative,12_13,2012-10-19,375,office costs,Const Office Rent,Payment to Supplier
4091,"Walker, Robin",Conservative,12_13,2012-10-22,6.86,office costs,Stationery Purchase,Payment to Supplier
4091,"Walker, Robin",Conservative,12_13,2012-04-17,62.4,office costs,Const Office Tel. Usage/Rental,0000166408
4091,"Walker, Robin",Conservative,12_13,2012-07-17,850.00,accommodation,Accommodation Rent,0000270758
4091,"Walker, Robin",Conservative,12_13,2012-07-31,9,travel,Congestion Zone/Toll,0000197782
4091,"Walker, Robin",Conservative,12_13,2012-08-01,113.4,office costs,Internet Usage/Rental,0000198290
4091,"Walker, Robin",Conservative,10_11,2011-01-04,104.48,general admin,Stationery Purchase,64374
4091,"Walker, Robin",Conservative,10_11,2011-03-14,54,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2011-01-11,1.74,staffing,Food & Drink Intern/Volunteer,64388
4091,"Walker, Robin",Conservative,10_11,2010-06-14,8,travel,Congestion Zone/Toll MP,17589
4091,"Walker, Robin",Conservative,10_11,2010-10-25,15,general admin,Hospitality,44274
4091,"Walker, Robin",Conservative,10_11,2010-12-10,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2011-02-14,9,travel,Congestion Zone/Toll MP,74936
4091,"Walker, Robin",Conservative,10_11,2011-03-11,54,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2011-01-17,5.5,staffing,Public Tr OTHER Int/Volntr,74985
4091,"Walker, Robin",Conservative,10_11,2011-02-10,375,constituency rental,Const Office Rent,69035
4091,"Walker, Robin",Conservative,10_11,2011-03-25,53.6,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2011-03-10,53.5,travel,Public Tr RAIL MP Staff - RTN,82295
4091,"Walker, Robin",Conservative,10_11,2010-07-15,72.85,general admin,Contact Cards,16207
4091,"Walker, Robin",Conservative,10_11,2010-12-20,8,travel,Congestion Zone/Toll MP,63247
4091,"Walker, Robin",Conservative,10_11,2010-09-06,8,travel,Congestion Zone/Toll MP,41354
4091,"Walker, Robin",Conservative,10_11,2010-09-17,54,travel,Own Car MP,41362
4091,"Walker, Robin",Conservative,10_11,2011-03-14,9,travel,Congestion Zone/Toll MP,89631
4091,"Walker, Robin",Conservative,10_11,2011-02-28,54,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2010-11-11,56.55,travel,Public Tr RAIL Other,54879
4091,"Walker, Robin",Conservative,10_11,2010-07-12,61.1,general admin,Telephone/Mobile Hire,14421
4091,"Walker, Robin",Conservative,10_11,2010-05-21,54,travel,Own Car MP,1024
4091,"Walker, Robin",Conservative,10_11,2011-01-04,270.27,general admin,Stationery Purchase,73110
4091,"Walker, Robin",Conservative,10_11,2010-12-09,5.5,staffing,Public Tr Bus Int/Volntr,64388
4091,"Walker, Robin",Conservative,10_11,2011-03-31,9,travel,Congestion Zone/Toll MP,89631
4091,"Walker, Robin",Conservative,10_11,2010-11-05,54,travel,Own Car MP,52464
4091,"Walker, Robin",Conservative,10_11,2010-11-05,53.42,general admin,Stationery Purchase,66619
4091,"Walker, Robin",Conservative,10_11,2010-10-26,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2011-01-31,54,travel,Own Car MP,74943
4091,"Walker, Robin",Conservative,10_11,2011-03-01,375,constituency rental,Const Office Rent,78192
4091,"Walker, Robin",Conservative,10_11,2010-10-28,118.77,general admin,Stationery Purchase,55918
4091,"Walker, Robin",Conservative,10_11,2010-12-13,8,travel,Congestion Zone/Toll MP,63247
4091,"Walker, Robin",Conservative,10_11,2010-12-23,53.6,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-11-26,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2011-02-17,53.6,travel,Own Car MP,74943
4091,"Walker, Robin",Conservative,10_11,2011-03-07,54,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2010-11-15,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-05-23,53.6,travel,Own Car MP,1024
4091,"Walker, Robin",Conservative,10_11,2011-03-22,64.74,general admin,Payment Telephone/Mobile,78188
4091,"Walker, Robin",Conservative,10_11,2011-01-20,66.84,general admin,Stationery Purchase,73110
4091,"Walker, Robin",Conservative,10_11,2011-03-17,53.6,travel,Own Car MP,89632
4091,"Walker, Robin",Conservative,10_11,2010-12-20,45,staffing,Professional Services (Staff.),63264
4091,"Walker, Robin",Conservative,10_11,2010-06-24,54,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2010-12-21,19.39,general admin,Stationery Purchase,64374
4091,"Walker, Robin",Conservative,10_11,2010-11-12,8.5,general admin,Venue Hire,55922
4091,"Walker, Robin",Conservative,10_11,2010-11-15,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2011-03-28,9,travel,Congestion Zone/Toll MP,89631
4091,"Walker, Robin",Conservative,10_11,2011-01-18,3.3,staffing,Public Tr OTHER Int/Volntr,74985
4091,"Walker, Robin",Conservative,10_11,2011-01-07,3.65,staffing,Food & Drink Intern/Volunteer,74999
4091,"Walker, Robin",Conservative,10_11,2010-09-24,14,general admin,Venue Hire,55922
4091,"Walker, Robin",Conservative,10_11,2010-07-14,62.86,general admin,Telephone/Mobile Hire,17617
4091,"Walker, Robin",Conservative,10_11,2010-11-09,2,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2010-10-28,411.25,general admin,Advertising,44262
4091,"Walker, Robin",Conservative,10_11,2010-12-17,8,travel,Congestion Zone/Toll MP,63247
4091,"Walker, Robin",Conservative,10_11,2010-10-11,8,travel,Congestion Zone/Toll MP,41354
4091,"Walker, Robin",Conservative,10_11,2011-01-14,2.79,staffing,Food & Drink Intern/Volunteer,64388
4091,"Walker, Robin",Conservative,10_11,2010-11-29,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-10-17,53.6,travel,Own Car MP,41362
4091,"Walker, Robin",Conservative,10_11,2011-01-28,54,travel,Own Car MP,74943
4091,"Walker, Robin",Conservative,10_11,2010-12-16,4.28,staffing,Food & Drink Intern/Volunteer,64388
4091,"Walker, Robin",Conservative,10_11,2010-06-21,8,travel,Congestion Zone/Toll MP,17589
4091,"Walker, Robin",Conservative,10_11,2010-12-20,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-12-03,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-12-06,53.6,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-07-19,54,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2010-12-06,8,travel,Congestion Zone/Toll MP,63247
4091,"Walker, Robin",Conservative,10_11,2010-06-14,54,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2010-11-29,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2010-09-13,54,travel,Own Car MP,41362
4091,"Walker, Robin",Conservative,10_11,2010-05-16,54,travel,Own Car MP,1024
4091,"Walker, Robin",Conservative,10_11,2010-12-10,8,travel,Congestion Zone/Toll MP,63247
4091,"Walker, Robin",Conservative,10_11,2010-10-13,10.2,travel,Public Tr UND MP Staff,58058
4091,"Walker, Robin",Conservative,10_11,2010-06-07,54,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2010-10-29,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2011-01-06,2,staffing,Food & Drink Intern/Volunteer,74999
4091,"Walker, Robin",Conservative,10_11,2011-02-10,63.92,general admin,Payment Telephone/Mobile,73115
4091,"Walker, Robin",Conservative,10_11,2010-10-11,64.14,general admin,Payment Telephone/Mobile,55441
4091,"Walker, Robin",Conservative,10_11,2011-02-11,53.6,travel,Own Car MP,74943
4091,"Walker, Robin",Conservative,10_11,2011-01-14,54,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-11-04,8,travel,Congestion Zone/Toll MP,57649
4091,"Walker, Robin",Conservative,10_11,2011-01-10,53.6,travel,Own Car MP,63251
4091,"Walker, Robin",Conservative,10_11,2010-06-01,18,travel,Congestion Zone/Toll MP,17589
4091,"Walker, Robin",Conservative,10_11,2010-09-10,53.6,travel,Own Car MP,41362
4091,"Walker, Robin",Conservative,10_11,2010-12-08,3.3,staffing,Public Tr Bus Int/Volntr,64388
4091,"Walker, Robin",Conservative,10_11,2010-07-02,53.6,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2011-03-07,9,travel,Congestion Zone/Toll MP,89631
4091,"Walker, Robin",Conservative,10_11,2010-07-16,53.6,travel,Own Car MP,17621
4091,"Walker, Robin",Conservative,10_11,2010-06-28,8,travel,Congestion Zone/Toll MP,17589
4091,"Walker, Robin",Conservative,10_11,2010-10-18,54,travel,Own Car MP,41362
