id,list_name,party,session,date,value,category,description,claim_number
220,"Webb, Steve",Liberal Democrat,11_12,2011-05-14,124,travel,Public Tr RAIL - RTN,97365
220,"Webb, Steve",Liberal Democrat,11_12,2011-07-15,9.6,office costs,Const Office Internet Usage,107338
220,"Webb, Steve",Liberal Democrat,12_13,2012-11-24,42,travel,Public Tr RAIL - SGL,0000235515
220,"Webb, Steve",Liberal Democrat,12_13,2012-09-13,89.5,travel,Public Tr RAIL - SGL,0000209879
220,"Webb, Steve",Liberal Democrat,12_13,2012-09-25,42.38,office costs,Const Office Tel. Usage/Rental,0000207607
220,"Webb, Steve",Liberal Democrat,12_13,2012-06-25,28,travel,Parking,0000196621
220,"Webb, Steve",Liberal Democrat,10_11,2010-07-01,1158,accommodation,Mortgage Interest,9737
220,"Webb, Steve",Liberal Democrat,10_11,2010-05-24,28,travel,Public Tr RAIL - SGL,1564
220,"Webb, Steve",Liberal Democrat,10_11,2010-05-21,44.06,general admin,Shredder Hire,26603
220,"Webb, Steve",Liberal Democrat,10_11,2011-03-13,20.5,travel,Public Tr RAIL - SGL,82222
220,"Webb, Steve",Liberal Democrat,10_11,2010-05-17,24,travel,Parking MP,1564
220,"Webb, Steve",Liberal Democrat,10_11,2010-12-04,110,travel,Public Tr RAIL - RTN,62268
220,"Webb, Steve",Liberal Democrat,10_11,2010-07-11,73.7,constituency rental,Const Office Telephone Rental,22264
220,"Webb, Steve",Liberal Democrat,10_11,2011-03-21,30.4,travel,Parking MP,82222
220,"Webb, Steve",Liberal Democrat,10_11,2010-11-21,82.5,travel,Public Tr RAIL - SGL,54809
220,"Webb, Steve",Liberal Democrat,10_11,2010-06-28,24.5,travel,Public Tr RAIL - SGL,8657
220,"Webb, Steve",Liberal Democrat,10_11,2010-12-22,2369,general admin,Other,58228
220,"Webb, Steve",Liberal Democrat,10_11,2010-07-02,157,constituency rental,Business Rates,32777
220,"Webb, Steve",Liberal Democrat,10_11,2010-10-31,110,travel,Public Tr RAIL - RTN,54809
220,"Webb, Steve",Liberal Democrat,10_11,2011-03-20,124,travel,Public Tr RAIL - RTN,82222
220,"Webb, Steve",Liberal Democrat,10_11,2010-10-30,14.99,general admin,Payment Internet,58711
220,"Webb, Steve",Liberal Democrat,10_11,2010-06-01,62,accommodation,Council Tax,7565
220,"Webb, Steve",Liberal Democrat,10_11,2010-05-24,24,travel,Parking MP,1564
220,"Webb, Steve",Liberal Democrat,10_11,2010-05-15,15,accommodation,Electricity,14698
220,"Webb, Steve",Liberal Democrat,10_11,2011-01-07,103,travel,Public Tr RAIL - RTN,66899
220,"Webb, Steve",Liberal Democrat,10_11,2010-09-06,30,travel,Parking MP,37842
