id,list_name,party,session,date,value,category,description,claim_number
62,"Whitehead, Alan",Labour,11_12,2011-06-02,38.25,travel,Own Car MP,105407
62,"Whitehead, Alan",Labour,12_13,2012-06-25,3,staffing,Public Tr Bus Int/Volntr,0000197851
62,"Whitehead, Alan",Labour,12_13,2012-09-10,39.4,travel,Public Tr RAIL - RTN,0000207614
62,"Whitehead, Alan",Labour,12_13,2012-09-04,73,travel,Public Tr RAIL - RTN,0000209905
62,"Whitehead, Alan",Labour,12_13,2012-05-15,73,travel,Public Tr RAIL - RTN,0000179326
62,"Whitehead, Alan",Labour,12_13,2013-01-21,335,office costs,Professional Services,0000241020
62,"Whitehead, Alan",Labour,12_13,2012-05-22,101.5,office costs,IT/Other Equipment Hire,0000175741
62,"Whitehead, Alan",Labour,12_13,2012-04-02,56.04,accommodation,Water,0000166469
62,"Whitehead, Alan",Labour,10_11,2010-09-14,487.56,general admin,Advertising,30239
62,"Whitehead, Alan",Labour,10_11,2010-08-03,78.81,accommodation,Service Charges,25392
62,"Whitehead, Alan",Labour,10_11,2011-01-13,68.8,travel,Public Tr RAIL - RTN,66926
62,"Whitehead, Alan",Labour,10_11,2011-03-11,14.6,travel,Public Tr AIR Int/Volntr,75983
62,"Whitehead, Alan",Labour,10_11,2010-12-14,335,general admin,Computer SW Purchase,56242
62,"Whitehead, Alan",Labour,10_11,2010-12-16,35.1,travel,Public Tr RAIL - RTN,62297
62,"Whitehead, Alan",Labour,10_11,2011-03-25,1233.9,general admin,Stationery Purchase,78604
62,"Whitehead, Alan",Labour,10_11,2010-05-07,82.5,accommodation,Council Tax,13453
62,"Whitehead, Alan",Labour,10_11,2010-09-01,49.22,accommodation,Water,30194
62,"Whitehead, Alan",Labour,10_11,2011-03-14,94.38,accommodation,Telephone Usage/Rental,83623
62,"Whitehead, Alan",Labour,10_11,2010-10-01,49.22,accommodation,Water,46685
62,"Whitehead, Alan",Labour,10_11,2010-11-03,32.7,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2011-03-04,179.52,accommodation,Mortgage Interest,83623
62,"Whitehead, Alan",Labour,10_11,2010-10-05,77.25,accommodation,Home Contents Insurance,46685
62,"Whitehead, Alan",Labour,10_11,2010-09-13,35.1,travel,Public Tr RAIL - RTN,37868
62,"Whitehead, Alan",Labour,10_11,2010-06-25,543.96,constituency rental,Const Office Rent,19920
62,"Whitehead, Alan",Labour,10_11,2011-02-03,78.81,accommodation,Service Charges,68486
62,"Whitehead, Alan",Labour,10_11,2010-06-17,32.7,travel,Public Tr RAIL - SGL,6727
62,"Whitehead, Alan",Labour,10_11,2011-04-01,137.45,general admin,Professional Services,80965
62,"Whitehead, Alan",Labour,10_11,2011-01-21,1.2,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-06-24,35,travel,Public Tr RAIL - RTN,11370
62,"Whitehead, Alan",Labour,10_11,2010-09-06,35.1,travel,Public Tr RAIL - RTN,37868
62,"Whitehead, Alan",Labour,10_11,2010-10-26,35,general admin,Other,42576
62,"Whitehead, Alan",Labour,10_11,2011-02-10,74.96,general admin,Payment Telephone/Mobile,68999
62,"Whitehead, Alan",Labour,10_11,2011-02-10,278.55,general admin,Stationery Purchase,68999
62,"Whitehead, Alan",Labour,10_11,2010-12-14,11.73,general admin,Stationery Purchase,56242
62,"Whitehead, Alan",Labour,10_11,2010-07-21,35,travel,Public Tr RAIL - RTN,27412
62,"Whitehead, Alan",Labour,10_11,2010-07-14,35,general admin,Professional Services,13541
62,"Whitehead, Alan",Labour,10_11,2010-09-21,35.1,travel,Public Tr RAIL - RTN,37868
62,"Whitehead, Alan",Labour,10_11,2010-05-26,35.1,travel,Public Tr RAIL - RTN,1716
62,"Whitehead, Alan",Labour,10_11,2010-11-01,1.6,travel,Own Car MP,30396
62,"Whitehead, Alan",Labour,10_11,2011-02-10,37.2,travel,Public Tr RAIL - RTN,74240
62,"Whitehead, Alan",Labour,10_11,2010-05-20,23.67,general admin,Stationery Purchase,7304
62,"Whitehead, Alan",Labour,10_11,2010-05-26,60.59,accommodation,Home Contents Insurance,13453
62,"Whitehead, Alan",Labour,10_11,2011-03-21,37.2,travel,Public Tr RAIL - RTN,82251
62,"Whitehead, Alan",Labour,10_11,2010-06-10,32.7,travel,Public Tr RAIL - SGL,28837
62,"Whitehead, Alan",Labour,10_11,2010-11-12,35.1,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2010-12-14,1240,constituency rental,Const Office Rent,56238
62,"Whitehead, Alan",Labour,10_11,2010-06-14,35.1,travel,Public Tr RAIL - RTN,6727
62,"Whitehead, Alan",Labour,10_11,2010-11-16,105.75,general admin,Venue Hire,48494
62,"Whitehead, Alan",Labour,10_11,2010-06-13,35.05,accommodation,Telephone Usage/Rental,13453
62,"Whitehead, Alan",Labour,10_11,2010-06-08,43.4,travel,Public Tr RAIL MP Staff - RTN,3305
62,"Whitehead, Alan",Labour,10_11,2010-07-14,14.69,general admin,Hospitality,13541
62,"Whitehead, Alan",Labour,10_11,2010-12-18,1.6,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-07-20,145.5,accommodation,Television Licence,39857
62,"Whitehead, Alan",Labour,10_11,2010-10-26,23.15,travel,Public Tr RAIL MP Staff - RTN,42565
62,"Whitehead, Alan",Labour,10_11,2011-02-18,2,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2011-03-25,956.36,general admin,Stationery Purchase,78604
62,"Whitehead, Alan",Labour,10_11,2010-06-22,32.7,travel,Public Tr RAIL - RTN,11370
62,"Whitehead, Alan",Labour,10_11,2010-05-27,35,travel,Public Tr RAIL - RTN,6792
62,"Whitehead, Alan",Labour,10_11,2010-11-01,35.1,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2010-12-14,1375,constituency rental,Const Office Rent,56238
62,"Whitehead, Alan",Labour,10_11,2011-03-25,156,general admin,Advertising,78605
62,"Whitehead, Alan",Labour,10_11,2011-02-11,1.6,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-07-08,35,travel,Public Tr RAIL - RTN,19625
62,"Whitehead, Alan",Labour,10_11,2010-11-04,32.7,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2010-07-14,105.75,general admin,Venue Hire,13541
62,"Whitehead, Alan",Labour,10_11,2010-09-16,35.1,travel,Public Tr RAIL - SGL,37868
62,"Whitehead, Alan",Labour,10_11,2011-02-05,2.4,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2011-03-02,182.72,general admin,Advertising,73093
62,"Whitehead, Alan",Labour,10_11,2010-07-04,187.14,accommodation,Mortgage Interest,25392
62,"Whitehead, Alan",Labour,10_11,2011-01-20,34,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-06-05,182.03,accommodation,Mortgage Interest,13453
62,"Whitehead, Alan",Labour,10_11,2010-11-16,124.48,general admin,Stationery Purchase,48494
62,"Whitehead, Alan",Labour,10_11,2010-11-25,35,travel,Public Tr RAIL - RTN,62297
62,"Whitehead, Alan",Labour,10_11,2010-10-03,78.81,accommodation,Service Charges,37215
62,"Whitehead, Alan",Labour,10_11,2011-01-31,37.2,travel,Public Tr RAIL - RTN,74240
62,"Whitehead, Alan",Labour,10_11,2010-12-15,65.4,travel,Public Tr RAIL - RTN,62297
62,"Whitehead, Alan",Labour,10_11,2010-07-26,35.1,travel,Public Tr RAIL - RTN,27412
62,"Whitehead, Alan",Labour,10_11,2011-02-28,37.2,travel,Public Tr RAIL - RTN,82251
62,"Whitehead, Alan",Labour,10_11,2011-02-11,25.93,general admin,Stationery Purchase,69198
62,"Whitehead, Alan",Labour,10_11,2010-05-25,35.1,travel,Public Tr RAIL - RTN,1709
62,"Whitehead, Alan",Labour,10_11,2011-02-21,36,general admin,Venue Hire,70966
62,"Whitehead, Alan",Labour,10_11,2010-05-07,59.11,accommodation,Service Charges,13453
62,"Whitehead, Alan",Labour,10_11,2010-11-10,67.42,general admin,Payment Telephone/Mobile,47166
62,"Whitehead, Alan",Labour,10_11,2010-12-14,20.56,general admin,Hospitality,56242
62,"Whitehead, Alan",Labour,10_11,2010-12-11,3.6,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-09-16,32.7,travel,Public Tr RAIL - SGL,37868
62,"Whitehead, Alan",Labour,10_11,2010-07-15,32.7,travel,Public Tr RAIL - RTN,19625
62,"Whitehead, Alan",Labour,10_11,2010-06-07,35.1,travel,Public Tr RAIL - RTN,6727
62,"Whitehead, Alan",Labour,10_11,2011-03-11,188.68,general admin,Stationery Purchase,75971
62,"Whitehead, Alan",Labour,10_11,2010-07-01,35,travel,Public Tr RAIL - RTN,19625
62,"Whitehead, Alan",Labour,10_11,2011-01-21,1.6,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-05-20,65.4,travel,Public Tr RAIL - RTN,1689
62,"Whitehead, Alan",Labour,10_11,2011-03-01,68.8,travel,Public Tr RAIL - RTN,82251
62,"Whitehead, Alan",Labour,10_11,2010-07-05,110,accommodation,Council Tax,13453
62,"Whitehead, Alan",Labour,10_11,2010-07-01,53.8,general admin,Stationery Purchase,13154
62,"Whitehead, Alan",Labour,10_11,2010-08-04,186.27,accommodation,Mortgage Interest,30194
62,"Whitehead, Alan",Labour,10_11,2011-01-17,34,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-08-25,35.25,general admin,Venue Hire,25121
62,"Whitehead, Alan",Labour,10_11,2010-09-14,35.25,general admin,Hospitality,30239
62,"Whitehead, Alan",Labour,10_11,2010-11-01,1.2,travel,Own Car MP,30396
62,"Whitehead, Alan",Labour,10_11,2010-09-14,32.7,travel,Public Tr RAIL - RTN,37868
62,"Whitehead, Alan",Labour,10_11,2011-02-17,37.2,travel,Public Tr RAIL - RTN,74240
62,"Whitehead, Alan",Labour,10_11,2011-03-02,12,general admin,Venue Hire,73093
62,"Whitehead, Alan",Labour,10_11,2010-06-30,6.57,general admin,Stationery Purchase,13154
62,"Whitehead, Alan",Labour,10_11,2011-03-14,37.2,travel,Public Tr RAIL - RTN,82251
62,"Whitehead, Alan",Labour,10_11,2010-11-11,65.4,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2010-06-26,77.23,accommodation,Home Contents Insurance,13453
62,"Whitehead, Alan",Labour,10_11,2011-01-22,1.6,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2011-01-05,110,accommodation,Council Tax,68486
62,"Whitehead, Alan",Labour,10_11,2010-08-26,77.25,accommodation,Home Contents Insurance,25392
62,"Whitehead, Alan",Labour,10_11,2010-10-28,65.4,travel,Public Tr RAIL - RTN,54836
62,"Whitehead, Alan",Labour,10_11,2010-11-29,35.1,travel,Public Tr RAIL - RTN,62297
62,"Whitehead, Alan",Labour,10_11,2010-10-22,7.34,general admin,Hospitality,41838
62,"Whitehead, Alan",Labour,10_11,2010-11-16,1240,constituency rental,Const Office Rent,48497
62,"Whitehead, Alan",Labour,10_11,2011-02-26,4.8,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-08-25,77.53,general admin,Stationery Purchase,25121
62,"Whitehead, Alan",Labour,10_11,2010-10-04,78.81,accommodation,Service Charges,46685
62,"Whitehead, Alan",Labour,10_11,2011-01-13,35.25,general admin,Venue Hire,61136
62,"Whitehead, Alan",Labour,10_11,2010-05-17,35.1,travel,Public Tr RAIL - RTN,1692
62,"Whitehead, Alan",Labour,10_11,2010-06-15,35.1,travel,Public Tr RAIL - RTN,6727
62,"Whitehead, Alan",Labour,10_11,2010-11-01,1.6,travel,Own Car MP,30396
62,"Whitehead, Alan",Labour,10_11,2010-06-21,145.5,general admin,Television Licence Purchase,7304
62,"Whitehead, Alan",Labour,10_11,2010-07-26,77.25,accommodation,Home Contents Insurance,25392
62,"Whitehead, Alan",Labour,10_11,2010-06-28,35.1,travel,Public Tr RAIL - RTN,19625
62,"Whitehead, Alan",Labour,10_11,2010-12-18,2.4,travel,Own Car MP,71923
62,"Whitehead, Alan",Labour,10_11,2010-10-21,63.9,travel,Public Tr RAIL - RTN,44612
62,"Whitehead, Alan",Labour,10_11,2011-01-17,37.2,travel,Public Tr RAIL - RTN,66926
62,"Whitehead, Alan",Labour,10_11,2011-03-31,37.2,travel,Public Tr RAIL - RTN,91120
62,"Whitehead, Alan",Labour,10_11,2010-07-03,78.81,accommodation,Service Charges,13453
