id,list_name,party,session,date,value,category,description,claim_number
1492,"Williams, Stephen",Liberal Democrat,11_12,2011-06-13,19.5,staffing,Public Tr UND Int/Volntr,0000137807
1492,"Williams, Stephen",Liberal Democrat,12_13,2013-03-26,85.75,office costs,Stationery Purchase,Payment to Supplier
1492,"Williams, Stephen",Liberal Democrat,12_13,2012-12-01,51.6,office costs,Waste Disposal,0000225193
1492,"Williams, Stephen",Liberal Democrat,12_13,2012-10-01,97.87,office costs,Professional Services,0000212231
1492,"Williams, Stephen",Liberal Democrat,12_13,2012-09-18,3.55,staffing,Food & Drink Int/Volntr,0000207030
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-11-17,198.85,accommodation,Water,49083
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-11-09,74.36,constituency rental,Const Office Electricity,46841
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-31,630,general admin,Computer HW Purchase,79972
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-08-04,10.38,general admin,Stationery Purchase,21230
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-28,2882.88,constituency rental,Const Office Rent,Payment to Supplier
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-28,1200,accommodation,Accommodation Rent,Payment to Supplier
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-08-04,144.23,constituency rental,Const Office Electricity,21242
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-31,782.69,general admin,Stationery Purchase,80289
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-07-17,46,travel,Public Tr RAIL - SGL,19367
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-09-08,142.15,constituency rental,Const Office Electricity,28700
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-10-10,37,travel,Public Tr RAIL - SGL,44353
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-01-20,13.29,accommodation,Telephone Usage/Rental,63495
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-31,72,staffing,Public Tr OTHER Int/Volntr,92255
1492,"Williams, Stephen",Liberal Democrat,10_11,2010-08-17,46.5,travel,Public Tr RAIL - SGL,27194
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-01-06,187.5,staffing,Public Tr RAIL Other Int/Volnt,59392
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-03-08,48,travel,Public Tr RAIL - SGL,81969
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-01-20,62,accommodation,Council Tax,63494
1492,"Williams, Stephen",Liberal Democrat,10_11,2011-01-20,360,general admin,Other,63330
