id,list_name,party,session,date,value,category,description,claim_number
3976,"Williamson, Chris",Labour,11_12,2011-04-12,2.88,staffing,Food & Drink Intern/Volunteer,86707
3976,"Williamson, Chris",Labour,11_12,2011-10-05,19.63,travel,Food & Drink MP,123774
3976,"Williamson, Chris",Labour,11_12,2011-11-17,22.5,travel,Own Car MP,0000135738
3976,"Williamson, Chris",Labour,12_13,2012-11-07,54.40,travel,Public Tr RAIL Other,0000231362
3976,"Williamson, Chris",Labour,12_13,2013-03-14,58.5,travel,Own Vehicle Car,0000254662
3976,"Williamson, Chris",Labour,12_13,2012-08-06,27.82,accommodation,Internet,0000199625
3976,"Williamson, Chris",Labour,12_13,2012-04-11,1560,accommodation,Accommodation Rent,Payment to Supplier
3976,"Williamson, Chris",Labour,12_13,2012-12-13,3.4,office costs,Hospitality,0000229060
3976,"Williamson, Chris",Labour,12_13,2013-01-09,2.6,office costs,Hospitality,0000232428
3976,"Williamson, Chris",Labour,12_13,2012-12-20,69.75,travel,Own Vehicle Car,0000231086
3976,"Williamson, Chris",Labour,12_13,2012-05-22,62.80,travel,Public Tr RAIL MP Staff - RTN,0000203796
3976,"Williamson, Chris",Labour,12_13,2012-10-31,61.45,travel,Public Tr RAIL MP Staff - SGL,0000227741
3976,"Williamson, Chris",Labour,10_11,2010-12-02,8.63,general admin,Stationery Purchase,57524
3976,"Williamson, Chris",Labour,10_11,2010-10-24,33,travel,Public Tr RAIL MP Staff - SGL,44560
3976,"Williamson, Chris",Labour,10_11,2010-06-09,60.3,travel,Public Tr RAIL MP Staff - RTN,6636
3976,"Williamson, Chris",Labour,10_11,2010-09-17,8,travel,Congestion Zone/Toll MP,36833
3976,"Williamson, Chris",Labour,10_11,2011-03-21,4.05,staffing,Food & Drink Intern/Volunteer,79657
3976,"Williamson, Chris",Labour,10_11,2010-12-21,8,travel,Congestion Zone/Toll MP,64877
3976,"Williamson, Chris",Labour,10_11,2010-06-23,398,general admin,Training MP Staff,16208
3976,"Williamson, Chris",Labour,10_11,2011-03-30,1.14,staffing,Food & Drink Intern/Volunteer,86665
3976,"Williamson, Chris",Labour,10_11,2010-10-24,52,travel,Own Car MP,45425
3976,"Williamson, Chris",Labour,10_11,2011-03-19,31.44,general admin,Payment Telephone/Mobile,86818
3976,"Williamson, Chris",Labour,10_11,2011-03-31,1,staffing,Food & Drink Intern/Volunteer,86665
3976,"Williamson, Chris",Labour,10_11,2010-10-12,8.46,general admin,Other,45512
3976,"Williamson, Chris",Labour,10_11,2011-01-29,2.17,staffing,Food & Drink Intern/Volunteer,72942
3976,"Williamson, Chris",Labour,10_11,2010-12-02,1516,general admin,Other,52597
3976,"Williamson, Chris",Labour,10_11,2011-03-21,58,travel,Public Tr RAIL MP Staff - RTN,82193
3976,"Williamson, Chris",Labour,10_11,2011-03-11,12.32,office costs,Other,0000078649
3976,"Williamson, Chris",Labour,10_11,2010-06-09,130,accommodation,Interim Hotel London Area,6186
3976,"Williamson, Chris",Labour,10_11,2011-02-18,2.59,staffing,Food & Drink Intern/Volunteer,72942
