id,list_name,party,session,date,value,category,description,claim_number
4108,"Williamson, Gavin",Conservative,11_12,2011-10-31,63.45,travel,Own Car MP,132403
4108,"Williamson, Gavin",Conservative,12_13,2013-03-01,18,travel,Congest. Zone/Toll Seas Ticket,0000249482
4108,"Williamson, Gavin",Conservative,12_13,2013-02-20,34.24,office costs,Const Office Tel. Usage/Rental,0000265548
4108,"Williamson, Gavin",Conservative,12_13,2013-01-10,0.29,office costs,Stationery Purchase,Payment to Supplier
4108,"Williamson, Gavin",Conservative,12_13,2012-12-07,17.52,office costs,Stationery Purchase,Payment to Supplier
4108,"Williamson, Gavin",Conservative,12_13,2012-07-15,8.51,travel,Own Vehicle Car,0000191895
4108,"Williamson, Gavin",Conservative,12_13,2013-01-17,1397.07,accommodation,Accommodation Rent,Payment to Supplier
4108,"Williamson, Gavin",Conservative,10_11,2010-11-08,54.4,travel,Own Car MP,47475
4108,"Williamson, Gavin",Conservative,10_11,2011-03-29,17.12,general admin,Stationery Purchase,79590
4108,"Williamson, Gavin",Conservative,10_11,2010-10-19,5,travel,Congestion Zone/Toll MP,40729
4108,"Williamson, Gavin",Conservative,10_11,2010-10-06,29.38,general admin,Professional Services,45610
4108,"Williamson, Gavin",Conservative,10_11,2011-03-24,54.4,travel,Own Car MP,90262
4108,"Williamson, Gavin",Conservative,10_11,2011-03-14,54.4,travel,Own Car MP,76248
4108,"Williamson, Gavin",Conservative,10_11,2010-09-22,113.19,general admin,Stationery Purchase,32366
4108,"Williamson, Gavin",Conservative,10_11,2011-02-21,162.99,constituency rental,Const Office Electricity,72125
4108,"Williamson, Gavin",Conservative,10_11,2010-07-28,5.2,travel,Own Car MP,18472
4108,"Williamson, Gavin",Conservative,10_11,2010-09-13,108.21,constituency rental,Const Office Tel. Usage/Rental,41562
4108,"Williamson, Gavin",Conservative,10_11,2010-07-28,54.4,travel,Own Car MP,18294
4108,"Williamson, Gavin",Conservative,10_11,2010-07-28,128.07,general admin,Office Furniture Purchase,18347
