id,list_name,party,session,date,value,category,description,claim_number
98,"Woodward, Shaun",Labour,11_12,2012-03-16,62.5,travel,Public Tr RAIL - SGL,0000164411
98,"Woodward, Shaun",Labour,12_13,2013-02-11,210.3,office costs,Computer HW Purchase,Payment to Supplier
98,"Woodward, Shaun",Labour,12_13,2013-03-29,183.28,office costs,Stationery Purchase,Payment to Supplier
98,"Woodward, Shaun",Labour,10_11,2010-10-11,62.72,constituency rental,Const Office Tel. Usage/Rental,49291
98,"Woodward, Shaun",Labour,10_11,2010-12-14,-148,travel,Public Tr RAIL - RTN,62347
98,"Woodward, Shaun",Labour,10_11,2010-12-17,98.99,general admin,Photocopier Hire,65789
98,"Woodward, Shaun",Labour,10_11,2011-03-23,253,travel,Public Tr RAIL Other,93708
98,"Woodward, Shaun",Labour,10_11,2011-01-14,333,general admin,Removal Costs,65789
98,"Woodward, Shaun",Labour,10_11,2010-06-08,1111.39,constituency rental,Const Office Rent,18854
98,"Woodward, Shaun",Labour,10_11,2010-09-28,50.03,constituency rental,Const Office Tel. Usage/Rental,58367
98,"Woodward, Shaun",Labour,10_11,2011-03-31,1586.25,general admin,Professional Services,82668
98,"Woodward, Shaun",Labour,10_11,2011-02-22,150,general admin,Install/Maint Office Equip.,77188
98,"Woodward, Shaun",Labour,10_11,2010-12-02,57,travel,Public Tr RAIL - SGL,62347
98,"Woodward, Shaun",Labour,10_11,2011-01-01,52.16,constituency rental,Const Office Tel. Usage/Rental,65803
98,"Woodward, Shaun",Labour,10_11,2011-02-17,399.38,accommodation,Electricity,85274
98,"Woodward, Shaun",Labour,10_11,2010-12-15,57,travel,Public Tr RAIL - SGL,62347
98,"Woodward, Shaun",Labour,10_11,2010-09-08,2215.3,constituency rental,Const Office Rent,30461
98,"Woodward, Shaun",Labour,10_11,2010-11-01,49.96,constituency rental,Const Office Tel. Usage/Rental,52717
98,"Woodward, Shaun",Labour,10_11,2010-10-19,21.66,constituency rental,Const Office Tel. Usage/Rental,49291
98,"Woodward, Shaun",Labour,10_11,2011-01-10,155.35,constituency rental,Const Office Internet Rental,65803
98,"Woodward, Shaun",Labour,10_11,2010-08-10,181.71,constituency rental,Const Office Electricity,30461
98,"Woodward, Shaun",Labour,10_11,2010-07-09,223.25,constituency rental,Const Office Tel. Usage/Rental,30461
98,"Woodward, Shaun",Labour,10_11,2010-11-15,5945.48,general admin,Other,56026
98,"Woodward, Shaun",Labour,10_11,2010-06-01,773.84,general admin,Security,18871
98,"Woodward, Shaun",Labour,10_11,2010-11-10,180.1,constituency rental,Const Office Electricity,52717
98,"Woodward, Shaun",Labour,10_11,2011-02-18,156,general admin,Removal Costs,77188
98,"Woodward, Shaun",Labour,10_11,2010-09-13,43.7,travel,Public Tr RAIL MP Staff - RTN,47576
98,"Woodward, Shaun",Labour,10_11,2010-09-15,2,travel,Public Tr RAIL MP Staff - SGL,47576
98,"Woodward, Shaun",Labour,10_11,2010-06-10,187.7,travel,Public Tr RAIL - RTN,18815
98,"Woodward, Shaun",Labour,10_11,2010-08-20,21.85,travel,Public Tr RAIL MP Staff - SGL,47576
98,"Woodward, Shaun",Labour,10_11,2010-08-20,7.5,travel,Public Tr UND MP Staff,47576
98,"Woodward, Shaun",Labour,10_11,2010-10-07,5.6,travel,Public Tr UND MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2010-09-06,89,travel,Public Tr RAIL - SGL,37915
98,"Woodward, Shaun",Labour,10_11,2010-11-10,148,travel,Public Tr RAIL - RTN,54894
98,"Woodward, Shaun",Labour,10_11,2011-01-21,4,travel,Public Tr UND MP Staff,68303
98,"Woodward, Shaun",Labour,10_11,2010-08-18,51.93,travel,Public Tr AIR,27458
98,"Woodward, Shaun",Labour,10_11,2010-07-01,125.02,general admin,Contact Cards,18871
98,"Woodward, Shaun",Labour,10_11,2011-01-28,270.8,accommodation,Electricity,85274
98,"Woodward, Shaun",Labour,10_11,2010-09-20,12,travel,Parking MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2010-11-17,22.99,constituency rental,Const Office Tel. Usage/Rental,52717
98,"Woodward, Shaun",Labour,10_11,2011-01-20,6.6,travel,Public Tr UND MP Staff,68303
98,"Woodward, Shaun",Labour,10_11,2010-06-22,125.5,travel,Public Tr RAIL - SGL,32637
98,"Woodward, Shaun",Labour,10_11,2010-12-20,249.1,general admin,Photocopier Hire,65789
98,"Woodward, Shaun",Labour,10_11,2011-03-30,20.27,general admin,Landline Hire,84094
98,"Woodward, Shaun",Labour,10_11,2011-01-20,59,travel,Public Tr RAIL MP Staff - SGL,68303
98,"Woodward, Shaun",Labour,10_11,2010-10-29,33.65,travel,Public Tr RAIL MP Staff - SGL,47576
98,"Woodward, Shaun",Labour,10_11,2010-08-21,19.15,travel,Public Tr RAIL MP Staff - SGL,47576
98,"Woodward, Shaun",Labour,10_11,2011-03-31,271.51,general admin,Professional Services,91539
98,"Woodward, Shaun",Labour,10_11,2011-03-15,21.58,constituency rental,Const Office Internet Rental,77183
98,"Woodward, Shaun",Labour,10_11,2011-02-15,464.13,general admin,Install/Maint Office Equip.,71223
98,"Woodward, Shaun",Labour,10_11,2010-06-30,16.43,general admin,Hospitality,18871
98,"Woodward, Shaun",Labour,10_11,2011-01-28,248.86,accommodation,Gas,85274
98,"Woodward, Shaun",Labour,10_11,2011-02-17,8.3,constituency rental,Const Office Tel. Usage/Rental,71222
98,"Woodward, Shaun",Labour,10_11,2010-09-20,84.5,travel,Public Tr RAIL MP Staff - SGL,39726
98,"Woodward, Shaun",Labour,10_11,2011-03-31,450.62,general admin,Professional Services,91539
98,"Woodward, Shaun",Labour,10_11,2010-10-21,57,travel,Public Tr RAIL - SGL,44664
98,"Woodward, Shaun",Labour,10_11,2011-02-17,32.33,constituency rental,Const Office Internet Rental,71222
98,"Woodward, Shaun",Labour,10_11,2010-08-17,10.56,constituency rental,Const Office Tel. Usage/Rental,30461
98,"Woodward, Shaun",Labour,10_11,2010-10-14,148,travel,Public Tr RAIL - RTN,44664
98,"Woodward, Shaun",Labour,10_11,2011-01-12,230.5,travel,Public Tr RAIL Other,66977
98,"Woodward, Shaun",Labour,10_11,2011-03-30,6.72,general admin,Photocopier Hire,84094
98,"Woodward, Shaun",Labour,10_11,2011-02-04,59,travel,Public Tr RAIL - SGL,74295
98,"Woodward, Shaun",Labour,10_11,2010-07-11,76.22,constituency rental,Const Office Telephone Rental,18854
98,"Woodward, Shaun",Labour,10_11,2010-11-23,148,travel,Public Tr RAIL - RTN,54894
98,"Woodward, Shaun",Labour,10_11,2011-01-20,46,travel,Hotel London Area MP Staff,68303
98,"Woodward, Shaun",Labour,10_11,2010-07-01,50.94,constituency rental,Const Office Tel. Usage/Rental,30461
98,"Woodward, Shaun",Labour,10_11,2011-03-30,131.51,general admin,Stationery Purchase,84102
98,"Woodward, Shaun",Labour,10_11,2010-10-08,57,travel,Public Tr RAIL MP Staff - SGL,39726
98,"Woodward, Shaun",Labour,10_11,2010-06-16,223.7,travel,Public Tr RAIL Other,18815
98,"Woodward, Shaun",Labour,10_11,2010-08-29,144.81,general admin,Stationery Purchase,49289
98,"Woodward, Shaun",Labour,10_11,2011-02-09,46,travel,Public Tr RAIL - SGL,74295
98,"Woodward, Shaun",Labour,10_11,2011-02-24,460.32,accommodation,Gas,85274
98,"Woodward, Shaun",Labour,10_11,2011-03-31,19.65,general admin,Professional Services,91539
98,"Woodward, Shaun",Labour,10_11,2010-09-21,5.6,travel,Public Tr UND MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2010-09-20,33,travel,Hotel London Area MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2010-06-22,125.5,travel,Public Tr RAIL - SGL,32637
98,"Woodward, Shaun",Labour,10_11,2011-01-28,117.36,accommodation,Gas,85274
98,"Woodward, Shaun",Labour,10_11,2010-06-20,45.07,constituency rental,Const Office Telephone Usage,18854
98,"Woodward, Shaun",Labour,10_11,2011-03-30,68.98,general admin,Payment Telephone/Mobile,84094
98,"Woodward, Shaun",Labour,10_11,2010-09-19,36.53,constituency rental,Const Office Tel. Usage/Rental,49291
98,"Woodward, Shaun",Labour,10_11,2010-09-20,5.6,travel,Public Tr UND MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2011-01-28,2202.88,accommodation,Council Tax,85274
98,"Woodward, Shaun",Labour,10_11,2010-12-15,125.5,travel,Public Tr RAIL - SGL,62347
98,"Woodward, Shaun",Labour,10_11,2010-08-06,169.08,constituency rental,Const Office Electricity,30461
98,"Woodward, Shaun",Labour,10_11,2011-03-31,7.54,general admin,Professional Services,91539
98,"Woodward, Shaun",Labour,10_11,2010-10-19,10,travel,Public Tr UND MP Staff,47576
98,"Woodward, Shaun",Labour,10_11,2010-12-14,43.7,travel,Public Tr RAIL MP Staff - RTN,68265
98,"Woodward, Shaun",Labour,10_11,2010-09-21,34,travel,Public Tr RAIL MP Staff - SGL,39726
98,"Woodward, Shaun",Labour,10_11,2010-07-19,46.64,constituency rental,Const Office Tel. Usage/Rental,30461
98,"Woodward, Shaun",Labour,10_11,2010-10-08,5.6,travel,Public Tr UND MP Staff,39726
98,"Woodward, Shaun",Labour,10_11,2011-03-28,59,staffing,Public Tr RAIL Int/Volntr - SG,83158
98,"Woodward, Shaun",Labour,10_11,2010-07-08,74,travel,Public Tr RAIL - SGL,19680
98,"Woodward, Shaun",Labour,10_11,2010-08-19,1,travel,Public Tr AIR,27458
98,"Woodward, Shaun",Labour,10_11,2011-03-08,73.38,constituency rental,Const Office Tel. Usage/Rental,77183
98,"Woodward, Shaun",Labour,10_11,2010-07-29,35,general admin,Professional Services,30484
98,"Woodward, Shaun",Labour,10_11,2011-03-31,139.85,general admin,Stationery Purchase,89817
98,"Woodward, Shaun",Labour,10_11,2011-03-31,150.5,general admin,Television Licence Purchase,83151
98,"Woodward, Shaun",Labour,10_11,2011-02-04,59,travel,Public Tr RAIL - SGL,74295
98,"Woodward, Shaun",Labour,10_11,2010-10-01,50.2,constituency rental,Const Office Tel. Usage/Rental,49291
98,"Woodward, Shaun",Labour,10_11,2011-03-29,59,travel,Public Tr RAIL - SGL,91170
98,"Woodward, Shaun",Labour,10_11,2010-11-03,94,travel,Public Tr RAIL - SGL,54894
98,"Woodward, Shaun",Labour,10_11,2011-01-21,46,travel,Public Tr RAIL MP Staff - SGL,68303
98,"Woodward, Shaun",Labour,10_11,2010-12-14,10,travel,Public Tr UND MP Staff,68265
98,"Woodward, Shaun",Labour,10_11,2010-09-30,98.99,general admin,Photocopier Hire,49289
98,"Woodward, Shaun",Labour,10_11,2010-09-16,143.93,travel,Public Tr AIR,37915
98,"Woodward, Shaun",Labour,10_11,2010-09-08,1111.39,constituency rental,Const Office Rent,30461
98,"Woodward, Shaun",Labour,10_11,2011-01-20,10,travel,Parking MP Staff,68303
98,"Woodward, Shaun",Labour,10_11,2010-10-19,43.7,travel,Public Tr RAIL MP Staff - RTN,47576
98,"Woodward, Shaun",Labour,10_11,2010-12-15,33.3,constituency rental,Const Office Tel. Usage/Rental,65803
