id,list_name,party,session,date,value,category,description,claim_number
4096,"Wright, Simon",Liberal Democrat,12_13,2012-10-09,26.64,office costs,Const Office Tel. Usage/Rental,0000212446
4096,"Wright, Simon",Liberal Democrat,12_13,2012-11-02,52.8,travel,Public Tr RAIL MP Staff - RTN,0000221578
4096,"Wright, Simon",Liberal Democrat,12_13,2012-06-25,46,travel,Public Tr RAIL - RTN,0000186175
4096,"Wright, Simon",Liberal Democrat,12_13,2012-11-13,36,office costs,Waste Disposal,0000221589
4096,"Wright, Simon",Liberal Democrat,12_13,2012-04-25,62.09,accommodation,Electricity,0000168438
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-20,6.34,general admin,Stationery Purchase,67535
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-14,145.5,accommodation,Television Licence,13306
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,117.07,accommodation,Electricity,57991
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-07,100,accommodation,Accommodation Rent,13345
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-07,1235,accommodation,Accommodation Rent,13313
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-21,4.28,general admin,Stationery Purchase,77641
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-07,1235,accommodation,Accommodation Rent,77631
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,22,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-13,41.4,travel,Public Tr RAIL - RTN,57993
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,88.7,travel,Public Tr RAIL MP Staff - RTN,63733
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,18,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-07,1235,accommodation,Accommodation Rent,77631
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-13,15,constituency rental,Const Office Hire of Premises,67538
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-21,15.51,general admin,Stationery Purchase,58001
4096,"Wright, Simon",Liberal Democrat,10_11,2010-09-24,327.49,accommodation,Council Tax,35432
4096,"Wright, Simon",Liberal Democrat,10_11,2010-08-27,19.22,general admin,Payment Telephone/Mobile,25709
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-06,41.4,travel,Public Tr RAIL - RTN,57993
4096,"Wright, Simon",Liberal Democrat,10_11,2010-05-09,41.4,travel,Public Tr RAIL - RTN,6435
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-28,45,travel,Public Tr RAIL - RTN,77648
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-16,20.56,general admin,Payment Telephone/Mobile,18680
4096,"Wright, Simon",Liberal Democrat,10_11,2010-08-09,1235,accommodation,Accommodation Rent,25688
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-21,45,travel,Public Tr RAIL - RTN,85790
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-21,21.59,general admin,Payment Telephone/Mobile,77647
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,10,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-17,45,travel,Public Tr RAIL - RTN,67279
4096,"Wright, Simon",Liberal Democrat,10_11,2010-11-09,19.83,general admin,Payment Telephone/Mobile,46788
4096,"Wright, Simon",Liberal Democrat,10_11,2010-08-27,26.06,general admin,Stationery Purchase,25729
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-07,41.4,travel,Public Tr RAIL - RTN,6435
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-24,2369,staffing,Professional Services (Staff.),85799
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-04,93.1,travel,Public Tr RAIL MP Staff - RTN,85790
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,1235,accommodation,Accommodation Rent,57986
4096,"Wright, Simon",Liberal Democrat,10_11,2010-11-29,41.4,travel,Public Tr RAIL - RTN,57993
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,33,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2010-10-18,41.4,travel,Public Tr RAIL - RTN,46780
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-14,45,travel,Public Tr RAIL - RTN,77648
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-14,45,travel,Public Tr RAIL - RTN,77648
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-28,18.65,general admin,Stationery Purchase,85844
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-11,12.67,general admin,Stationery Purchase,77641
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-08,38.7,general admin,Stationery Purchase,70435
4096,"Wright, Simon",Liberal Democrat,10_11,2010-11-01,41.4,travel,Public Tr RAIL - RTN,46780
4096,"Wright, Simon",Liberal Democrat,10_11,2010-09-30,2212.5,constituency rental,Const Office Rent,35070
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-04,93.1,travel,Public Tr RAIL MP Staff - RTN,85790
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-29,7.92,general admin,Stationery Purchase,85844
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-24,263,general admin,Professional Services,85800
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,22,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-07,45,travel,Public Tr RAIL - RTN,77648
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-19,85.3,travel,Public Tr RAIL - RTN,18661
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-04,148.46,accommodation,Water,13293
4096,"Wright, Simon",Liberal Democrat,10_11,2010-10-07,1235,accommodation,Accommodation Rent,46777
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-21,191.55,accommodation,Water,77646
4096,"Wright, Simon",Liberal Democrat,10_11,2010-09-07,1235,accommodation,Accommodation Rent,35420
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-12,85.3,travel,Public Tr RAIL - RTN,18661
4096,"Wright, Simon",Liberal Democrat,10_11,2010-11-15,41.4,travel,Public Tr RAIL - RTN,57993
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-16,182.13,general admin,Telephone/Mobile Purchase,18677
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-05,10,constituency rental,Const Office Hire of Premises,67538
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-21,20.54,general admin,Payment Telephone/Mobile,57988
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-28,20.13,general admin,Payment Telephone/Mobile,67528
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-07,1235,accommodation,Accommodation Rent,13313
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-21,23.59,general admin,Stationery Purchase,58001
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-07,15,constituency rental,Const Office Hire of Premises,58011
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-05,85.3,travel,Public Tr RAIL - RTN,18237
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-24,45,travel,Public Tr RAIL - RTN,67279
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-07,93.1,travel,Public Tr RAIL - RTN,70438
4096,"Wright, Simon",Liberal Democrat,10_11,2010-07-13,363.08,general admin,Recruitment Services,18667
4096,"Wright, Simon",Liberal Democrat,10_11,2010-08-27,19.33,general admin,Payment Telephone/Mobile,25709
4096,"Wright, Simon",Liberal Democrat,10_11,2010-11-09,1235,accommodation,Accommodation Rent,46777
4096,"Wright, Simon",Liberal Democrat,10_11,2010-08-11,41.4,travel,Public Tr RAIL MP Staff - RTN,25712
4096,"Wright, Simon",Liberal Democrat,10_11,2010-09-30,310,general admin,Computer SW Purchase,35444
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-14,41.4,travel,Public Tr RAIL - RTN,6435
4096,"Wright, Simon",Liberal Democrat,10_11,2011-02-03,61.35,accommodation,Electricity,67276
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-28,41.4,travel,Public Tr RAIL - RTN,18237
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-17,41.4,travel,Public Tr RAIL MP Staff - RTN,13284
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-21,9.31,general admin,Stationery Purchase,58001
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-31,45,travel,Public Tr RAIL - RTN,70438
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-07,1235,accommodation,Accommodation Rent,77631
4096,"Wright, Simon",Liberal Democrat,10_11,2010-12-06,46,travel,Public Tr RAIL MP Staff - RTN,63733
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-28,19.92,general admin,Payment Telephone/Mobile,67528
4096,"Wright, Simon",Liberal Democrat,10_11,2011-01-20,25.71,general admin,Stationery Purchase,67535
4096,"Wright, Simon",Liberal Democrat,10_11,2010-06-21,41.4,travel,Public Tr RAIL - RTN,18237
4096,"Wright, Simon",Liberal Democrat,10_11,2010-10-11,41.4,travel,Public Tr RAIL - RTN,46780
4096,"Wright, Simon",Liberal Democrat,10_11,2011-03-28,33,constituency rental,Const Office Hire of Premises,85808
