id,list_name,party,session,date,value,category,description,claim_number
4113,"Zahawi, Nadhim",Conservative,12_13,2012-09-18,455.97,accommodation,Electricity,0000210910
4113,"Zahawi, Nadhim",Conservative,12_13,2012-12-14,45.9,travel,Own Vehicle Car,0000241168
4113,"Zahawi, Nadhim",Conservative,12_13,2012-07-31,286.68,office costs,Stationery Purchase,0000199798
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-19,40.4,travel,Own Car MP,6367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-11,40.4,travel,Own Car MP,13814
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-10,12.79,accommodation,Telephone Usage/Rental,22938
4113,"Zahawi, Nadhim",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,1435
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-10,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-24,40.8,travel,Own Car MP,36846
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-22,40.4,travel,Own Car MP,69618
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-12,16.37,accommodation,Internet,67692
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-12,10.68,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-06,0.49,general admin,Stationery Purchase,40026
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-09,152.75,general admin,Advertising,51027
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-09,12.79,accommodation,Telephone Usage/Rental,30900
4113,"Zahawi, Nadhim",Conservative,10_11,2011-03-18,40.8,travel,Own Car MP,78531
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-10,40.8,travel,Own Car MP,30887
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-09,12.79,accommodation,Telephone Usage/Rental,24688
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-12,40.4,travel,Own Car MP,69618
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-10,16.51,accommodation,Internet,22938
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-04,294.19,constituency rental,Business Rates,47939
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-08,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-08,40.8,travel,Own Car MP,41873
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-09,40.8,travel,Own Car MP,13814
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-03,58.6,travel,Public Tr OTHER,74002
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-14,61.1,general admin,Payment Telephone/Mobile,22461
4113,"Zahawi, Nadhim",Conservative,10_11,2010-05-14,40.8,travel,Own Car MP,6367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-09,825,constituency rental,Const Office Rent,61375
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-25,12.4,travel,Own Car MP,24681
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-10,117.03,general admin,Payment Telephone/Mobile,40025
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-10,64.63,general admin,Advertising,8053
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-15,428.88,general admin,Other,40026
4113,"Zahawi, Nadhim",Conservative,10_11,2011-03-04,40.8,travel,Own Car MP,78531
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-11,4.4,travel,Own Car MP,69618
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-19,40.4,travel,Own Car MP,78531
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-09,64.63,general admin,Advertising,40024
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-09,78.16,constituency rental,Const Office Tel. Usage/Rental,51026
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-20,340.68,general admin,Stationery Purchase,45297
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-11,697,accommodation,Accommodation Rent,22519
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-26,105.73,general admin,Office Furniture Purchase,26152
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-17,131.22,general admin,Stationery Purchase,13830
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-22,40.4,travel,Own Car MP,36846
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-14,37.81,accommodation,Gas,78523
4113,"Zahawi, Nadhim",Conservative,10_11,2011-03-04,40.8,travel,Own Car MP,78531
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-09,40.4,travel,Own Car MP,41873
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-16,9.66,general admin,Stationery Purchase,13830
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-13,697,accommodation,Accommodation Rent,61371
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-27,18.24,travel,Own Car MP,26155
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-27,40.4,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-25,60,general admin,Professional Services,71675
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-21,11.25,travel,Food & Drink @ Parliament,22613
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-09,75,constituency rental,Const Office Rent,61375
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-04,825,constituency rental,Const Office Rent,47939
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-16,3250,staffing,Professional Services (Staff.),61370
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-18,40.4,travel,Own Car MP,36846
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-24,12.78,general admin,Stationery Purchase,61367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-05-13,152.75,general admin,Advertising,1434
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-09,74.92,constituency rental,Const Office Tel. Usage/Rental,61375
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-10,9.2,travel,Own Car MP,30887
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-07,64.63,general admin,Advertising,2904
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-29,9.52,travel,Own Car MP,47919
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-05,40.4,travel,Own Car MP,6367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-11,40.4,travel,Own Car MP,13814
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-20,988.18,general admin,Computer HW Purchase,61367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-30,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-10,61.1,general admin,Payment Telephone/Mobile,61367
4113,"Zahawi, Nadhim",Conservative,10_11,2011-03-10,16.4,accommodation,Internet,78523
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-04,160.74,constituency rental,Const Office Electricity,47939
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-03,40.8,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-28,106.52,accommodation,Electricity,30900
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-11,13.42,accommodation,Telephone Usage/Rental,45304
4113,"Zahawi, Nadhim",Conservative,10_11,2011-03-30,3250,staffing,Professional Services (Staff.),80683
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-10,13.29,accommodation,Telephone Usage/Rental,51024
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-23,3250,staffing,Professional Services (Staff.),51038
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-04,40.8,travel,Own Car MP,6367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-14,7.12,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-10,61.1,general admin,Payment Telephone/Mobile,26145
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-21,8.8,travel,Own Car MP,36846
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-11,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-13,109.13,accommodation,Television Licence,22939
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-21,5.88,general admin,Professional Services,61365
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-11,58.50,travel,Public Tr OTHER,66699
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-22,19.84,travel,Own Car MP,41873
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-01,40.8,travel,Own Car MP,41873
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-13,1216.85,accommodation,Council Tax,22945
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-18,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-12,40.4,travel,Own Car MP,6367
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-16,697,accommodation,Accommodation Rent,30894
4113,"Zahawi, Nadhim",Conservative,10_11,2011-01-26,86.4,travel,Public Tr OTHER,74002
4113,"Zahawi, Nadhim",Conservative,10_11,2010-08-13,352.5,general admin,Professional Services,31017
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-28,92.52,accommodation,Electricity,47924
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-08,152.75,general admin,Advertising,40024
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-10,13.29,accommodation,Telephone Usage/Rental,67692
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-11,60.37,constituency rental,Const Office Tel. Usage/Rental,45302
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-25,40.8,travel,Own Car MP,13814
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-11,15.99,accommodation,Internet,45304
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-10,15.99,accommodation,Internet,67692
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-14,17.63,general admin,Professional Services,8097
4113,"Zahawi, Nadhim",Conservative,10_11,2010-10-25,3250,staffing,Professional Services (Staff.),45298
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-20,3250,staffing,Professional Services (Staff.),22454
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-29,455.31,general admin,Stationery Purchase,13830
4113,"Zahawi, Nadhim",Conservative,10_11,2010-09-06,0.96,general admin,Postage Purchase,40026
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-05,40.8,travel,Own Car MP,47919
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-16,102.39,general admin,Stationery Purchase,51027
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-09,294.19,constituency rental,Business Rates,61375
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-10,697,accommodation,Accommodation Rent,55705
4113,"Zahawi, Nadhim",Conservative,10_11,2011-02-10,118.28,general admin,Payment Telephone/Mobile,71674
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-13,15,general admin,Professional Services,68366
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-01,21.86,accommodation,Gas,24688
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-12,61.1,general admin,Payment Telephone/Mobile,22461
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-21,40.4,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-26,40.8,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-07-02,40.8,travel,Own Car MP,13814
4113,"Zahawi, Nadhim",Conservative,10_11,2010-12-03,24.32,travel,Own Car MP,55708
4113,"Zahawi, Nadhim",Conservative,10_11,2010-11-01,15,travel,Food & Drink @ Parliament,61355
4113,"Zahawi, Nadhim",Conservative,10_11,2010-06-19,40.4,travel,Own Car MP,6367
